style_matchup_key,fights,red_win_rate,avg_r_odds,avg_b_odds,flat_bet_red_profit,flat_bet_blue_profit,underdog_win_rate,underdog_profit,red_underdog_rate,flat_bet_red_roi,flat_bet_blue_roi,underdog_roi
cluster_4_vs_cluster_5,56,0.6428571428571429,-183.5,125.42857142857143,-105.50407224409584,-1412.000487910505,0.25,-2136.0,0.25,-0.0188400129007314,-0.25214294426973305,-0.38142857142857145
cluster_4_vs_cluster_3,125,0.616,-167.44,108.992,-292.14380758543206,-1625.7244117765063,0.304,-2050.931216931217,0.288,-0.023371504606834563,-0.1300579529421205,-0.16407449735449736
cluster_5_vs_cluster_5,96,0.5416666666666666,-73.125,23.46875,-271.54670900920496,-826.052620451684,0.3541666666666667,-861.136567834681,0.3958333333333333,-0.028286115521792183,-0.08604714796371708,-0.0897017258161126
cluster_5_vs_cluster_3,80,0.5375,-39.0,-14.5375,-475.10040338165845,-1110.0158895368336,0.35,-1233.6556444308367,0.4875,-0.059387550422707304,-0.1387519861921042,-0.15420695555385458
cluster_0_vs_cluster_2,70,0.5571428571428572,-167.5857142857143,118.65714285714286,-437.748584057021,1159.5193628855002,0.4142857142857143,1729.0,0.2571428571428571,-0.06253551200814586,0.16564562326935717,0.247
cluster_0_vs_cluster_0,196,0.5204081632653061,-81.7295918367347,34.974489795918366,-1526.1204723420665,-94.75617003310234,0.39285714285714285,646.3254738788719,0.4030612244897959,-0.07786328940520747,-0.0048344984710766495,0.03297578948361591
cluster_1_vs_cluster_0,76,0.6447368421052632,-290.5394736842105,203.76315789473685,-691.8379131549634,-266.56475506309744,0.2894736842105263,-830.4845938375349,0.11842105263157894,-0.09103130436249518,-0.035074309876723345,-0.10927428866283355
cluster_2_vs_cluster_4,69,0.4927536231884058,-79.1159420289855,21.608695652173914,-672.0644525420014,416.03549119956733,0.391304347826087,442.29437229437224,0.4057971014492754,-0.09740064529594224,0.06029499872457498,0.06410063366585105
cluster_5_vs_cluster_0,127,0.44881889763779526,-22.496062992125985,-24.921259842519685,-1482.2552015967015,1298.7622071876067,0.3937007874015748,616.7789944260533,0.5196850393700787,-0.11671300799974027,0.1022647407234336,0.04856527515165774
cluster_5_vs_cluster_4,76,0.4473684210526316,-6.052631578947368,-48.23684210526316,-1193.6502830773518,280.85385974564844,0.3157894736842105,-1066.7619047619048,0.5263157894736842,-0.15705924777333577,0.03695445522969058,-0.14036340852130327
cluster_2_vs_cluster_3,53,0.4716981132075472,-91.83018867924528,21.07547169811321,-886.4731842118649,917.3964167324526,0.33962264150943394,-159.33490347961856,0.37735849056603776,-0.16725909136072922,0.173093663534425,-0.030063189335777087
cluster_0_vs_cluster_1,77,0.4675324675324675,-27.896103896103895,-25.7012987012987,-1378.6825237929495,-1.3214067535729725,0.3246753246753247,-1339.7619047619048,0.5194805194805194,-0.17904967841466876,-0.00017161126669778864,-0.17399505256648115
cluster_3_vs_cluster_1,58,0.3275862068965517,80.0,-129.4655172413793,-1187.4911404326695,1297.1842700539617,0.41379310344827586,817.0,0.6724137931034483,-0.2047398517987361,0.22365246035413133,0.14086206896551723
cluster_3_vs_cluster_3,111,0.45045045045045046,-77.69369369369369,32.13513513513514,-2774.29653470847,1710.942938962165,0.3333333333333333,-1051.6080586080586,0.4144144144144144,-0.2499366247485108,0.15413900351010495,-0.09473946473946473
