era,style_matchup_key,fights,red_win_rate,avg_r_odds,avg_b_odds,flat_bet_red_profit,flat_bet_blue_profit,underdog_win_rate,underdog_profit,red_underdog_rate,flat_bet_red_roi,flat_bet_blue_roi,underdog_roi
2010-2016,cluster_0_vs_cluster_1,36,0.5833333333333334,-93.33333333333333,37.22222222222222,75.38095999129881,-544.2175650768312,0.3611111111111111,-224.76190476190476,0.4444444444444444,0.020939155553138557,-0.15117154585467532,-0.06243386243386243
2010-2016,cluster_5_vs_cluster_5,28,0.6071428571428571,-85.85714285714286,45.32142857142857,56.57233182664971,-747.582214082214,0.21428571428571427,-1236.0,0.32142857142857145,0.020204404223803468,-0.266993647886505,-0.44142857142857145
2010-2016,cluster_0_vs_cluster_3,28,0.6785714285714286,-238.21428571428572,201.0,-30.828420401044298,-361.1764705882353,0.32142857142857145,-295.0,0.07142857142857142,-0.011010150143230106,-0.12899159663865548,-0.10535714285714286
2010-2016,cluster_4_vs_cluster_0,49,0.5510204081632653,-138.3469387755102,83.36734693877551,-161.54173698864918,184.18950513330955,0.4489795918367347,986.3852813852814,0.2857142857142857,-0.032967701426254936,0.037589694925165215,0.20130311865005743
2010-2016,cluster_4_vs_cluster_4,71,0.5774647887323944,-183.6056338028169,127.47887323943662,-378.6560855615163,-29.185487000483874,0.3380281690140845,-144.28571428571428,0.30985915492957744,-0.05333184303683328,-0.0041106319718991376,-0.020321931589537223
2010-2016,cluster_2_vs_cluster_2,25,0.56,-118.0,89.8,-241.24039007238383,-333.0597368732962,0.32,-525.0,0.28,-0.09649615602895353,-0.13322389474931848,-0.21
2010-2016,cluster_0_vs_cluster_2,35,0.5714285714285714,-220.45714285714286,185.8,-384.829253464343,800.632183908046,0.4,950.0,0.14285714285714285,-0.10995121527552658,0.22875205254515601,0.2714285714285714
2010-2016,cluster_1_vs_cluster_0,32,0.59375,-257.1875,201.09375,-470.9693414698005,688.6593358866032,0.3125,225.0,0.09375,-0.14717791920931267,0.2152060424645635,0.0703125
2010-2016,cluster_4_vs_cluster_1,31,0.5483870967741935,-159.48387096774192,111.19354838709677,-505.70976433873983,365.0006889634336,0.2903225806451613,-263.76190476190476,0.2903225806451613,-0.1631321820447548,0.11774215773013988,-0.08508448540706605
2010-2016,cluster_4_vs_cluster_3,25,0.52,-118.92,91.08,-503.8683806526243,161.23028033140395,0.32,-345.0,0.32,-0.20154735226104972,0.06449211213256158,-0.138
2010-2016,cluster_3_vs_cluster_3,28,0.5,-129.35714285714286,80.10714285714286,-677.7234168281085,327.6453980801807,0.2857142857142857,-374.76190476190476,0.35714285714285715,-0.24204407743861017,0.11701621360006453,-0.133843537414966
2010-2016,cluster_0_vs_cluster_0,55,0.45454545454545453,-111.0,73.07272727272728,-1342.9853132000671,1253.9062858911939,0.45454545454545453,1038.2380952380952,0.34545454545454546,-0.24417914785455766,0.22798296107112617,0.18877056277056276
2010-2016,cluster_2_vs_cluster_3,20,0.35,-73.6,-5.65,-593.5422548466026,1249.9362381762696,0.45,917.0873786407767,0.4,-0.2967711274233013,0.6249681190881348,0.45854368932038836
2010-2016,cluster_5_vs_cluster_4,20,0.4,-97.4,55.9,-778.6582303921014,751.5835188884877,0.3,-32.0,0.4,-0.3893291151960507,0.3757917594442438,-0.016
2017-2020,cluster_3_vs_cluster_0,36,0.6388888888888888,60.22222222222222,-115.61111111111111,1610.262472223861,-1530.9595300890487,0.3888888888888889,225.23809523809524,0.6944444444444444,0.4472951311732947,-0.42526653613584686,0.06256613756613756
2017-2020,cluster_3_vs_cluster_5,21,0.5714285714285714,-18.0,-33.666666666666664,586.162859494778,-207.4056941499385,0.42857142857142855,515.0,0.47619047619047616,0.2791251711879895,-0.09876461626187548,0.24523809523809523
2017-2020,cluster_4_vs_cluster_0,31,0.5806451612903226,-42.29032258064516,-10.32258064516129,713.2354573682048,-666.0031656323216,0.3548387096774194,-44.09090909090909,0.3870967741935484,0.23007595398974348,-0.214839730849136,-0.014222873900293255
2017-2020,cluster_4_vs_cluster_4,51,0.6470588235294118,-146.2941176470588,42.27450980392157,1158.4311666620927,-1655.3503417542595,0.39215686274509803,43.12840065133642,0.35294117647058826,0.22714336601217502,-0.32457849838318814,0.008456549147320866
2017-2020,cluster_4_vs_cluster_3,46,0.6956521739130435,-197.84782608695653,123.67391304347827,601.5835686912758,-1300.1917690152984,0.2826086956521739,-877.5238095238095,0.2826086956521739,0.13077903667201649,-0.28265038456854313,-0.19076604554865426
2017-2020,cluster_4_vs_cluster_1,25,0.56,-7.8,-28.6,273.8073203590445,-409.3662837780485,0.44,295.0,0.48,0.1095229281436178,-0.1637465135112194,0.118
2017-2020,cluster_4_vs_cluster_2,20,0.65,-135.35,84.5,125.58443207570653,-284.8039588884659,0.25,-465.0,0.3,0.06279221603785326,-0.14240197944423294,-0.2325
2017-2020,cluster_0_vs_cluster_0,50,0.6,-122.88,79.24,301.8332293157899,-359.2010658803112,0.44,765.0873786407767,0.32,0.06036664586315798,-0.07184021317606223,0.15301747572815533
2017-2020,cluster_0_vs_cluster_4,34,0.6176470588235294,-112.79411764705883,49.05882352941177,174.37294398011716,-550.7113316790736,0.35294117647058826,-318.76190476190476,0.3235294117647059,0.051286159994152106,-0.16197392108208047,-0.09375350140056023
2017-2020,cluster_2_vs_cluster_3,21,0.6190476190476191,-82.0,24.80952380952381,98.33972590539295,-698.492202396198,0.23809523809523808,-1015.4222821203953,0.3333333333333333,0.04682844090732998,-0.33261533447437996,-0.4835344200573311
2017-2020,cluster_5_vs_cluster_5,29,0.5517241379310345,-53.86206896551724,9.586206896551724,-147.72880292558582,-497.13709146992505,0.3448275862068966,-640.4761904761905,0.4482758620689655,-0.05094096652606408,-0.1714265832654914,-0.22085385878489328
2017-2020,cluster_0_vs_cluster_5,24,0.5416666666666666,-154.58333333333334,110.20833333333333,-137.82725911472681,654.8787061994609,0.5416666666666666,1280.2380952380952,0.25,-0.05742802463113617,0.2728661275831087,0.5334325396825397
2017-2020,cluster_1_vs_cluster_0,21,0.6190476190476191,-276.6666666666667,192.14285714285714,-260.1785145404084,22.25732600732601,0.3333333333333333,35.23809523809524,0.14285714285714285,-0.12389453073352781,0.010598726670155243,0.016780045351473923
2017-2020,cluster_0_vs_cluster_3,21,0.5714285714285714,-163.9047619047619,113.33333333333333,-300.16708604403806,31.354729113349833,0.2857142857142857,-419.76190476190476,0.14285714285714285,-0.14293670764001812,0.014930823387309444,-0.19988662131519275
2017-2020,cluster_5_vs_cluster_0,37,0.40540540540540543,43.16216216216216,-86.02702702702703,-604.8569976571546,183.49963492070287,0.3783783783783784,-259.0909090909091,0.5945945945945946,-0.1634748642316634,0.04959449592451429,-0.07002457002457003
2017-2020,cluster_5_vs_cluster_4,23,0.43478260869565216,24.043478260869566,-90.47826086956522,-456.7308124320747,-122.40277776994272,0.30434782608695654,-734.7619047619048,0.5217391304347826,-0.19857861410090202,-0.053218599030409874,-0.31946169772256733
2017-2020,cluster_5_vs_cluster_3,23,0.4782608695652174,-29.565217391304348,-23.782608695652176,-488.3336036965914,-248.33193117925794,0.2608695652173913,-925.6603773584906,0.5217391304347826,-0.2123189581289528,-0.10797040486054693,-0.40246103363412633
2017-2020,cluster_3_vs_cluster_4,59,0.4576271186440678,-38.67796610169491,-27.694915254237287,-1288.030093008823,43.06824036841695,0.2711864406779661,-2071.7965367965367,0.4067796610169492,-0.21831018525573273,0.0072997017573588055,-0.3511519553892435
2017-2020,cluster_3_vs_cluster_3,34,0.38235294117647056,-73.08823529411765,42.470588235294116,-1167.2785006561603,1200.3665730777113,0.4117647058823529,215.0,0.38235294117647056,-0.3433172060753413,0.3530489920816798,0.06323529411764706
2021-present,cluster_1_vs_cluster_4,23,0.8695652173913043,-265.9130434782609,191.69565217391303,963.5398900160557,-1030.0,0.2608695652173913,-178.0,0.13043478260869565,0.4189303869635025,-0.44782608695652176,-0.07739130434782608
2021-present,cluster_4_vs_cluster_5,26,0.7307692307692307,-231.57692307692307,139.57692307692307,339.3802370235215,-1099.8865803127264,0.23076923076923078,-1011.0,0.2692307692307692,0.1305308603936621,-0.4230333001202794,-0.38884615384615384
2021-present,cluster_3_vs_cluster_2,21,0.6666666666666666,-97.76190476190476,31.571428571428573,249.94911831382612,-941.4393423420298,0.14285714285714285,-1182.0,0.2857142857142857,0.11902338967325053,-0.4483044487342999,-0.5628571428571428
2021-present,cluster_0_vs_cluster_3,39,0.6923076923076923,-182.35897435897436,104.23076923076923,383.7519079404278,-1122.5945286160654,0.20512820512820512,-1407.090909090909,0.2564102564102564,0.09839792511293022,-0.28784475092719625,-0.36079254079254075
2021-present,cluster_2_vs_cluster_0,21,0.6666666666666666,-56.95238095238095,0.7619047619047619,184.32371997321823,-1072.3227722281026,0.14285714285714285,-1394.090909090909,0.47619047619047616,0.08777319998724678,-0.5106298915371917,-0.6638528138528138
2021-present,cluster_0_vs_cluster_4,50,0.5,-51.8,-4.82,237.93062671435706,239.68845061162267,0.44,1079.4579439252336,0.38,0.04758612534287141,0.04793769012232454,0.21589158878504672
2021-present,cluster_3_vs_cluster_4,76,0.5263157894736842,11.802631578947368,-62.25,265.9896287186899,-1536.5071684266936,0.32894736842105265,-1128.0,0.5657894736842105,0.03499863535772236,-0.20217199584561757,-0.14842105263157895
2021-present,cluster_5_vs_cluster_3,38,0.5526315789473685,-28.026315789473685,-36.60526315789474,125.60998839252194,-534.7156227099946,0.42105263157894735,62.00473292765383,0.5,0.03305526010329525,-0.14071463755526173,0.016317034980961535
2021-present,cluster_4_vs_cluster_4,106,0.5943396226415094,-61.679245283018865,4.377358490566038,199.20221607119615,-3047.707383462916,0.2358490566037736,-4251.761904761905,0.4528301886792453,0.01879266189350907,-0.28751956447763355,-0.40110961365678344
2021-present,cluster_1_vs_cluster_0,23,0.7391304347826086,-349.60869565217394,218.08695652173913,39.30994285524549,-977.4814169570267,0.21739130434782608,-1090.7226890756301,0.13043478260869565,0.01709127950228065,-0.42499192041609857,-0.4742272561198392
2021-present,cluster_3_vs_cluster_5,30,0.5666666666666667,-83.2,23.6,45.220002993711496,-690.3613865953713,0.3,-741.0,0.4,0.015073334331237165,-0.2301204621984571,-0.247
2021-present,cluster_5_vs_cluster_4,33,0.48484848484848486,28.333333333333332,-81.9090909090909,41.73875974682427,-348.32688137289654,0.3333333333333333,-300.0,0.6060606060606061,0.012648109014189174,-0.10555360041602925,-0.09090909090909091
2021-present,cluster_4_vs_cluster_0,68,0.5735294117647058,-85.94117647058823,23.264705882352942,76.07018133822929,-957.5387281741973,0.3382352941176471,-623.8069381598793,0.4117647058823529,0.011186791373269013,-0.14081451884914667,-0.09173631443527637
2021-present,cluster_4_vs_cluster_2,34,0.5882352941176471,-64.82352941176471,2.4411764705882355,9.043828118723724,-689.0260670340463,0.3235294117647059,-555.0,0.38235294117647056,0.002659949446683448,-0.2026547255982489,-0.16323529411764706
2021-present,cluster_5_vs_cluster_1,28,0.4642857142857143,99.10714285714286,-185.85714285714286,-21.480748129013648,-673.1915953676546,0.25,-824.0,0.7142857142857143,-0.007671695760362017,-0.24042556977416235,-0.29428571428571426
2021-present,cluster_0_vs_cluster_5,43,0.627906976744186,-163.32558139534885,105.81395348837209,-197.41800191966453,-1141.5804100416776,0.18604651162790697,-2283.0,0.27906976744186046,-0.045911163237131285,-0.2654838162887622,-0.5309302325581395
2021-present,cluster_5_vs_cluster_5,39,0.48717948717948717,-78.3076923076923,18.102564102564102,-180.3902379102688,418.66668510045514,0.46153846153846156,1015.3396226415094,0.41025641025641024,-0.04625390715647918,0.10735043207703977,0.2603434929850024
2021-present,cluster_3_vs_cluster_0,58,0.4827586206896552,32.87931034482759,-104.10344827586206,-289.91082139201944,-311.669662178105,0.3620689655172414,-360.76190476190476,0.5689655172413793,-0.049984624377934384,-0.05373614865139741,-0.06220032840722496
2021-present,cluster_0_vs_cluster_0,91,0.5164835164835165,-41.42857142857143,-12.373626373626374,-484.96838845778933,-989.461390043985,0.32967032967032966,-1157.0,0.4835164835164835,-0.05329322950085597,-0.1087320208839544,-0.12714285714285714
2021-present,cluster_4_vs_cluster_3,54,0.5925925925925926,-164.0,104.77777777777777,-389.8589956240835,-486.7629230926118,0.3148148148148148,-828.4074074074074,0.2777777777777778,-0.0721961103007562,-0.09014128205418737,-0.1534087791495199
2021-present,cluster_5_vs_cluster_0,59,0.4406779661016949,-32.66101694915254,-23.11864406779661,-943.2068472766199,342.4470693746746,0.3728813559322034,-259.1300964830376,0.559322033898305,-0.15986556733502033,0.05804187616519908,-0.04392035533610807
2021-present,cluster_3_vs_cluster_3,49,0.46938775510204084,-51.36734693877551,-2.4489795918367347,-929.2946172242014,182.93096780427288,0.30612244897959184,-891.8461538461538,0.46938775510204084,-0.1896519626988166,0.03733285057230059,-0.18200941915227628
2021-present,cluster_2_vs_cluster_4,26,0.5,-50.57692307692308,-25.346153846153847,-633.0599949510341,-442.6253449612688,0.19230769230769232,-1429.7619047619048,0.5384615384615384,-0.24348461344270544,-0.17024051729279568,-0.549908424908425
2021-present,cluster_0_vs_cluster_1,28,0.32142857142857145,70.35714285714286,-123.07142857142857,-1203.7060825647782,481.17898660608654,0.2857142857142857,-825.0,0.6785714285714286,-0.42989502948742075,0.17184963807360235,-0.29464285714285715
2021-present,cluster_3_vs_cluster_1,24,0.20833333333333334,95.54166666666667,-147.75,-1123.962962962963,887.4497915694833,0.375,-40.0,0.75,-0.46831790123456796,0.3697707464872847,-0.016666666666666666
