style_name,source_cluster,feature,cluster_mean,global_mean,global_std,z_score,abs_z_score,direction,rank,weight_abs,signed_weight
decision_technician,3,avg_fight_time,794.4205757407913,628.371307223686,107.37888675520692,1.5463865712786722,1.5463865712786722,1,1,0.1529151836406198,0.1529151836406198
decision_technician,3,decision_loss_rate,0.7250518447205088,0.46112231571406226,0.19280280033656141,1.3689092095432456,1.3689092095432456,1,2,0.1353652489309664,0.1353652489309664
decision_technician,3,str_acc,0.4401862917143762,0.4634916785006902,0.01733194900988,-1.3446489355022258,1.3446489355022258,-1,3,0.13296626000474546,-0.13296626000474546
decision_technician,3,decision_win_rate,0.701651999218734,0.43595104437667176,0.20130382731327165,1.3199001647821378,1.3199001647821378,1,4,0.13051896584827039,0.13051896584827039
decision_technician,3,finish_rate,0.2831579647736748,0.5543835965292547,0.20575733841041066,-1.3181820578111483,1.3181820578111483,-1,5,0.13034907000989288,-0.13034907000989288
decision_technician,3,finish_loss_rate,0.2102906532233285,0.4559262338202126,0.19271804165878625,-1.2745852878257766,1.2745852878257766,-1,6,0.12603798233474675,-0.12603798233474675
decision_technician,3,str_def,0.5894655075878255,0.5660578372118614,0.02377447137186225,0.9845716445105761,0.9845716445105761,1,7,0.09735984301984106,0.09735984301984106
decision_technician,3,ko_rate,0.1593015979009446,0.34475625378213953,0.19408687643679476,-0.9555239348786626,0.9555239348786626,-1,8,0.09448744621091727,-0.09448744621091727
all_round_finisher,4,last_fight_ko_loss,0.5585387323943662,0.14294009484176903,0.2233452473277041,1.8607901557126425,1.8607901557126425,1,1,0.16382605107824552,0.16382605107824552
all_round_finisher,4,recent_ko_losses_3,1.1703345070422535,0.37859285783412366,0.4315176355799198,1.8347839901006648,1.8347839901006648,1,2,0.16153643910732154,0.16153643910732154
all_round_finisher,4,career_ko_losses,2.183538732394366,0.9017710248717701,0.7088016617960256,1.8083587787798598,1.8083587787798598,1,3,0.15920993388248192,0.15920993388248192
all_round_finisher,4,days_since_last_ko_loss,409.0761443661972,2142.704732410723,983.9008106186378,-1.7619952838076114,1.7619952838076114,-1,4,0.15512803981604398,-0.15512803981604398
all_round_finisher,4,finish_loss_rate,0.7312672091060324,0.4559262338202126,0.19271804165878625,1.4287244355321969,1.4287244355321969,1,5,0.1257865007688599,0.1257865007688599
