paths,p_red_win,p_blue_win,p_ko_tko,p_sub,p_dec,mean_finish_round,mean_red_sig_att,mean_red_sig_landed,mean_red_td_att,mean_red_td_landed,mean_red_control_seconds,mean_red_ground_control_seconds,mean_red_clinch_control_seconds,mean_red_sub_att,mean_red_reversals,mean_red_knockdowns_scored,mean_red_distance_segments,mean_red_clinch_segments,mean_red_ground_segments,mean_red_distance_occupancy,mean_red_clinch_occupancy,mean_red_ground_occupancy,mean_blue_sig_att,mean_blue_sig_landed,mean_blue_td_att,mean_blue_td_landed,mean_blue_control_seconds,mean_blue_ground_control_seconds,mean_blue_clinch_control_seconds,mean_blue_sub_att,mean_blue_reversals,mean_blue_knockdowns_scored,mean_blue_distance_segments,mean_blue_clinch_segments,mean_blue_ground_segments,mean_blue_distance_occupancy,mean_blue_clinch_occupancy,mean_blue_ground_occupancy,td_success_rate,bout_id,event_date,red_name,blue_name,red_fighter_id,blue_fighter_id,red_age,blue_age,scheduled_rounds,actual_red_win,winner_correct,winner_brier
10,0.4,0.6,0.0,0.6,0.4,1.6666666666666667,60.7,19.8,2.3,1.0,98.0,97.0,1.0,0.6,0.2,0.1,37.4,2.1,18.6,0.6437177280550774,0.03614457831325301,0.32013769363166955,62.8,24.8,2.5,1.0,109.0,89.0,20.0,0.5,0.0,0.0,37.4,2.1,18.6,0.6437177280550774,0.03614457831325301,0.32013769363166955,0.4166666666666667,96919cf8d3e988ff,2020-02-15,Montana De La Rosa,Mara Romero Borella,80d8aed0ca9b00f3,82cbb809d5ee565c,25.00205338809035,33.70294318959617,3,1,0,0.36
10,0.5,0.5,0.3,0.0,0.7,1.6666666666666667,137.5,65.8,1.6,0.6,72.0,42.0,30.0,0.1,0.1,0.4,61.8,5.0,9.5,0.8099606815203145,0.0655307994757536,0.12450851900393185,168.5,70.1,0.8,0.3,73.0,53.0,20.0,0.1,0.0,0.1,61.8,5.0,9.5,0.8099606815203145,0.0655307994757536,0.12450851900393185,0.3749999999999999,eab100e978c730c5,2020-02-15,Lando Vannata,Yancy Medeiros,f9b200db02b488d9,813550bc53b15fb0,27.923340177960302,32.440793976728266,3,1,1,0.25
10,0.5,0.5,0.1,0.4,0.5,1.8,64.8,27.9,1.8,1.1,108.0,98.0,10.0,0.8,0.1,0.2,33.9,4.3,27.5,0.5159817351598173,0.0654490106544901,0.4185692541856925,60.3,27.0,2.7,1.9,209.0,176.0,33.0,0.4,0.1,0.1,33.9,4.3,27.5,0.5159817351598173,0.0654490106544901,0.4185692541856925,0.6666666666666666,f3e2038bfb9b5d9d,2020-02-15,Jim Miller,Scott Holtzman,d1941565abf50b16,df1eb4354d18a906,36.46269678302532,36.37782340862423,3,0,0,0.25
10,0.2,0.8,0.0,0.2,0.8,2.5,215.3,67.5,0.8,0.2,57.0,16.0,41.0,0.1,0.1,0.1,73.8,6.3,5.3,0.864168618266979,0.07377049180327869,0.062060889929742395,213.6,88.7,1.4,0.3,59.0,37.0,22.0,0.3,0.0,0.2,73.8,6.3,5.3,0.864168618266979,0.07377049180327869,0.062060889929742395,0.22727272727272727,060987bb3025a0a8,2020-02-22,Karolina Kowalkiewicz,Yan Xiaonan,d7c3816669784109,c41d426cc7326d1b,34.35455167693361,30.68583162217659,3,0,1,0.04000000000000001
10,0.5,0.5,0.0,0.0,1.0,,149.2,64.4,2.0,0.8,79.0,50.0,29.0,0.0,0.2,0.0,68.2,12.5,9.3,0.7577777777777778,0.1388888888888889,0.10333333333333335,144.4,64.1,2.1,1.0,139.0,43.0,96.0,0.0,0.1,0.2,68.2,12.5,9.3,0.7577777777777778,0.1388888888888889,0.10333333333333335,0.4390243902439025,102fb91414fd24ab,2020-02-22,Priscila Cachoeira,Shana Dobson,b1e5bcaad32a3cac,122ac9b816d8b71c,31.509924709103355,30.899383983572896,3,1,1,0.25
10,1.0,0.0,0.0,0.3,0.7,2.0,86.6,40.0,3.1,1.4,180.0,160.0,20.0,0.6,0.0,0.2,55.0,3.8,21.1,0.6883604505632039,0.047559449311639544,0.2640801001251564,89.1,25.3,1.5,0.4,69.0,51.0,18.0,0.1,0.2,0.0,55.0,3.8,21.1,0.6883604505632039,0.047559449311639544,0.2640801001251564,0.391304347826087,3bd20b66b585d621,2020-02-22,Jake Matthews,Emil Meek,a845f0735bc67405,103b06d8707895a9,25.51129363449692,31.50718685831622,3,1,1,0.0
10,0.0,1.0,0.9,0.0,0.1,1.6666666666666667,77.4,34.7,0.8,0.1,22.0,2.0,20.0,0.1,0.0,0.2,41.6,2.4,4.0,0.8666666666666667,0.049999999999999996,0.08333333333333333,106.3,69.6,0.5,0.2,42.0,38.0,4.0,0.1,0.1,0.3,41.6,2.4,4.0,0.8666666666666667,0.049999999999999996,0.08333333333333333,0.23076923076923078,5fceb95c29d929bc,2020-02-22,Paul Felder,Dan Hooker,e5010b1b94ca5755,193b9d1858bc4df3,35.827515400410675,30.023271731690624,5,0,1,0.0
10,0.2,0.8,0.0,0.1,0.9,1.0,128.7,37.2,2.0,0.8,106.0,56.0,50.0,0.2,0.0,0.0,60.2,6.6,16.8,0.7200956937799042,0.07894736842105261,0.20095693779904306,126.4,52.5,2.4,1.0,128.0,112.0,16.0,0.3,0.2,0.2,60.2,6.6,16.8,0.7200956937799042,0.07894736842105261,0.20095693779904306,0.40909090909090906,f882cf76a8bce308,2020-02-22,Kevin Aguilar,Zubaira Tukhugov,cf946e03ba2e7666,aceffa19749c4dc0,31.457905544147845,29.10335386721424,3,0,1,0.04000000000000001
10,0.8,0.2,0.4,0.1,0.5,2.0,191.9,85.1,2.2,0.8,146.0,145.0,1.0,0.1,0.7,0.5,62.0,7.7,31.7,0.611439842209073,0.07593688362919132,0.3126232741617357,78.8,38.8,5.1,2.3,248.0,172.0,76.0,0.6,0.2,0.4,62.0,7.7,31.7,0.611439842209073,0.07593688362919132,0.3126232741617357,0.4246575342465753,e8219ea7da46f67f,2020-02-29,Joseph Benavidez,Deiveson Figueiredo,80eacd4da0617c57,aa72b0f831d0bfe5,35.58110882956879,32.199863107460644,5,0,0,0.6400000000000001
10,0.4,0.6,0.3,0.0,0.7,2.3333333333333335,78.6,24.4,2.4,1.0,167.0,65.0,102.0,0.0,0.1,0.5,40.3,17.4,20.3,0.5166666666666666,0.22307692307692306,0.2602564102564103,64.9,33.7,4.2,1.2,208.0,136.0,72.0,0.0,0.2,0.1,40.3,17.4,20.3,0.5166666666666666,0.22307692307692306,0.2602564102564103,0.33333333333333337,f5b49f4c5a27e53b,2020-02-29,Ion Cutelaba,Magomed Ankalaev,cd13728ae1151f46,d802174b0c0c1f4e,26.209445585215605,27.742642026009584,3,0,1,0.16000000000000003
