period,analysis,market_p_bucket,edge_bucket,bets,wins,losses,win_rate,profit_units,roi,avg_market_p,avg_v5_p,avg_edge
2021_2024,market_x_edge,30-40%,0-2%,110,37,73,0.33636363636363636,-5.919999999999998,-0.0538181818181818,0.3461520996882216,0.3561132927370444,0.009961193048822738
2021_2024,market_x_edge,30-40%,2-4%,90,24,66,0.26666666666666666,-23.32,-0.2591111111111111,0.3500040764092214,0.37905765366118893,0.029053577251967524
2021_2024,market_x_edge,30-40%,4-6%,35,9,26,0.2571428571428571,-10.66,-0.30457142857142855,0.35046845487274514,0.39744444741117374,0.0469759925384286
2021_2024,market_x_edge,30-40%,6-7.5%,11,6,5,0.5454545454545454,4.8500000000000005,0.440909090909091,0.3640972417818608,0.4307169868461076,0.06661974506424681
2021_2024,market_x_edge,30-40%,7.5%+,11,7,4,0.6363636363636364,7.300000000000001,0.6636363636363637,0.3558248642501031,0.4662343454638389,0.11040948121373573
2021_2024,market_x_edge,40-50%,0-2%,102,44,58,0.43137254901960786,-7.421300964830378,-0.07275785259637625,0.4466728633522026,0.4566854911775788,0.010012627825376161
2021_2024,market_x_edge,40-50%,2-4%,86,41,45,0.47674418604651164,5.055824508072586,0.05878865707061147,0.4428087005140998,0.4711207338987662,0.028312033384666438
2021_2024,market_x_edge,40-50%,4-6%,47,26,21,0.5531914893617021,9.388181818181819,0.19974854932301742,0.4424190669623428,0.4922830308704215,0.049863963908078617
2021_2024,market_x_edge,40-50%,6-7.5%,10,4,6,0.4,-1.4200000000000002,-0.14200000000000002,0.4510671078610781,0.519048691468265,0.06798158360718683
2021_2024,market_x_edge,40-50%,7.5%+,9,7,2,0.7777777777777778,6.1436468956514645,0.6826274328501627,0.4463787551791189,0.5339561807375633,0.08757742555844453
2021_2024,market_x_edge,50-60%,0-2%,122,66,56,0.5409836065573771,-7.689964744310359,-0.06303249790418328,0.5533290958203378,0.5630224314608241,0.009693335640486361
2021_2024,market_x_edge,50-60%,2-4%,120,75,45,0.625,9.649903740145852,0.08041586450121543,0.5540188553350428,0.583311068422604,0.02929221308756136
2021_2024,market_x_edge,50-60%,4-6%,55,32,23,0.5818181818181818,-0.4431483013335964,-0.008057241842429026,0.5588816046810867,0.6079919505421727,0.04911034586108579
2021_2024,market_x_edge,50-60%,6-7.5%,25,16,9,0.64,2.9908037731590236,0.11963215092636094,0.5470849938582039,0.6142867774675972,0.06720178360939323
