view,logit_threshold,method_family,rows,unique_fights,hit_rate,avg_model_prob,model_calibration_gap,avg_fair_market_prob,market_calibration_gap,avg_raw_implied_prob,avg_signed_logit_residual,avg_price_edge,model_binary_log_loss,market_binary_log_loss,log_loss_delta_model_minus_market,model_brier,market_brier,brier_delta_model_minus_market
residual_only,0.3,KO_TKO,88,88,0.25,0.2924229832027446,-0.042422983202744624,0.2273462590937475,0.022653740906252495,0.27843017964438077,0.37495458750993804,0.013992803558363858,0.5293217759910721,0.5240561894234458,0.005265586567626324,0.17397286175122556,0.17176385543260322,0.0022090063186223363
residual_only,0.3,SUB,26,26,0.15384615384615385,0.23079263447568968,-0.07694648062953582,0.1748826794885032,-0.02103652564234934,0.21544256946642873,0.37630455350153363,0.015350065009260894,0.40241983269375836,0.3815310654899252,0.020888767203833147,0.12273269063989424,0.11573703027700044,0.006995660362893799
residual_only,0.4,DEC,161,160,0.2981366459627329,0.36023315532792427,-0.062096509365191344,0.26783994884450923,0.030296697118223692,0.3284626135684678,0.4677077433567854,0.031770541759456504,0.5696958872018396,0.5626792536879298,0.007016633513909798,0.19336195129466924,0.1906104456978599,0.0027515055968093394
residual_only,0.4,KO_TKO,26,26,0.19230769230769232,0.30715767867290056,-0.11484998636520824,0.2277141492583943,-0.03540645695070199,0.28015501664732184,0.45462715215517957,0.027002662025578668,0.39273181832142995,0.36370083485520516,0.02903098346622479,0.11562480210153558,0.10946177422641902,0.006163027875116564
residual_only,0.4,SUB,5,5,0.2,0.2842263996601105,-0.08422639966011047,0.19435677953416328,0.005643220465836735,0.24451933844431045,0.5352057358641159,0.03970706121579999,0.4829478251905641,0.4418869428743334,0.04106088231623073,0.15676171272097816,0.14494717658151426,0.0118145361394639
residual_only,0.5,DEC,40,40,0.325,0.36520831398665904,-0.04020831398665903,0.25380226381975846,0.07119773618024156,0.3118679812452586,0.5691467996729587,0.053340332741400355,0.5596045424709144,0.5679681144588157,-0.008363571987901275,0.18946326577373912,0.19474520403792955,-0.005281938264190433
residual_only,0.5,KO_TKO,4,4,0.25,0.30143946781754494,-0.05143946781754494,0.21426308914982706,0.03573691085017294,0.26805555555555555,0.5483015208978318,0.033383912261989376,0.2816324550685254,0.28198441301194316,-0.00035195794341774667,0.06567624905182418,0.07936667497325657,-0.013690425921432395
residual_only,0.5,SUB,2,2,0.0,0.25528938323259354,-0.25528938323259354,0.1463410731450851,-0.1463410731450851,0.18218623481781376,0.7027407658028622,0.07310314841477977,0.29516989244034975,0.15860718880661479,0.13656270363373496,0.06562760721721184,0.021974639036534502,0.043652968180677335
raw_break_even_eligible,0.0,DEC,672,624,0.24851190476190477,0.2676093727793722,-0.019097468017467423,0.20781767715091712,0.04069422761098765,0.2520074034990974,0.34297854710807957,0.015601969280274741,0.5199869549896382,0.5231701595651953,-0.003183204575557097,0.17197621243853584,0.17365380189304624,-0.0016775894545104086
raw_break_even_eligible,0.0,KO_TKO,143,141,0.20279720279720279,0.21264094221112612,-0.00984373941392333,0.16544541155939424,0.037351791237808546,0.19945977568793463,0.3161934892139423,0.01318116652319147,0.47776056970138486,0.4797992954016616,-0.0020387257002767445,0.15199338794740067,0.15255007380855376,-0.0005566858611530945
raw_break_even_eligible,0.0,SUB,44,44,0.11363636363636363,0.17194142031737344,-0.05830505668100981,0.1315006434984567,-0.01786427986209306,0.16113629667895688,0.32285851720812814,0.010805123638416562,0.33907279705352944,0.32437432875811095,0.014698468295418488,0.09983590346661483,0.09522594335840888,0.004609960108205954
raw_break_even_eligible,0.1,DEC,671,624,0.2488822652757079,0.267767280584476,-0.018885015308768127,0.20790500604915313,0.04097725922655476,0.2521700715477441,0.34334847987515055,0.015597209036731853,0.5204991211460495,0.523709009747446,-0.0032098886013965933,0.17219356630421873,0.1738794161963868,-0.0016858498921680787
raw_break_even_eligible,0.1,KO_TKO,140,139,0.2,0.21311178396322897,-0.013111783963228957,0.1650452560402996,0.03495474395970041,0.1998486594771962,0.321905361571785,0.013263124486032701,0.4779184579763834,0.4799696574337095,-0.002051199457326125,0.15171294022284693,0.15224514987449825,-0.000532209651651322
raw_break_even_eligible,0.1,SUB,44,44,0.11363636363636363,0.17194142031737344,-0.05830505668100981,0.1315006434984567,-0.01786427986209306,0.16113629667895688,0.32285851720812814,0.010805123638416562,0.33907279705352944,0.32437432875811095,0.014698468295418488,0.09983590346661483,0.09522594335840888,0.004609960108205954
raw_break_even_eligible,0.2,DEC,651,612,0.2534562211981567,0.271327828573558,-0.017871607375401333,0.21030418324005715,0.04315203795809955,0.2554274094591881,0.34814910939915833,0.01590041911436982,0.5270945115192063,0.5307066256093032,-0.003612114090096874,0.17494482492085792,0.1767398533792532,-0.0017950284583952703
raw_break_even_eligible,0.2,KO_TKO,134,134,0.208955223880597,0.215318996431445,-0.006363772550847996,0.16601172409200554,0.042943499788591466,0.20224576867029462,0.3288872457343813,0.013073227761150384,0.49116138774126855,0.4944054981458675,-0.003244110404598932,0.15711105002260833,0.15797137710926218,-0.0008603270866538448
raw_break_even_eligible,0.2,SUB,42,42,0.11904761904761904,0.17445778713694637,-0.05541016808932733,0.13297150460598497,-0.013923885558365934,0.16325389810811355,0.3289618263571227,0.0112038890288328,0.34910231265466735,0.33471522088815914,0.014387091766508209,0.10379322567245046,0.09918811623307366,0.004605109439376795
raw_break_even_eligible,0.3,DEC,444,432,0.28378378378378377,0.30146011460136185,-0.01767633081757808,0.22980536263067775,0.053978421153106027,0.2809501255845151,0.38879631964983796,0.020509989016846752,0.5546572203088505,0.5601728460058538,-0.005515625697003368,0.18778639431438413,0.19058280530487806,-0.002796410990493936
raw_break_even_eligible,0.3,KO_TKO,74,74,0.21621621621621623,0.24981923210057053,-0.0336030158843543,0.18783763791945943,0.0283785782967568,0.22998471646221258,0.38141681395154947,0.01983451563835796,0.4921471114744245,0.4896523492143973,0.0024947622600272057,0.15657028360066824,0.15613929232297458,0.0004309912776936653
raw_break_even_eligible,0.3,SUB,24,24,0.125,0.20823501516133547,-0.08323501516133547,0.15469552782885626,-0.02969552782885626,0.19134400468021298,0.3788057583361266,0.01689101048112243,0.38936491995442196,0.3645352882494117,0.024829631705010236,0.11767616285269505,0.10889329480747512,0.008782868045219938
raw_break_even_eligible,0.4,DEC,157,156,0.2802547770700637,0.35315986143745437,-0.07290508436739068,0.2609951208586083,0.019259656211455367,0.32020298777247336,0.4687881839622212,0.03295687366498093,0.5726631461762532,0.5609943455087646,0.011668800667488655,0.1948722718536135,0.1899024258921361,0.004969845961477398
raw_break_even_eligible,0.4,KO_TKO,24,24,0.16666666666666666,0.28063455410301685,-0.1139678874363502,0.2029533264646474,-0.036286659797980736,0.2507189439756789,0.45743697535567246,0.02991561012733794,0.37549824318157626,0.3461051908602477,0.02939305232132855,0.10805044540413718,0.10264269155779211,0.005407753846345065
raw_break_even_eligible,0.4,SUB,5,5,0.2,0.2842263996601105,-0.08422639966011047,0.19435677953416328,0.005643220465836735,0.24451933844431045,0.5352057358641159,0.03970706121579999,0.4829478251905641,0.4418869428743334,0.04106088231623073,0.15676171272097816,0.14494717658151426,0.0118145361394639
raw_break_even_eligible,0.5,DEC,40,40,0.325,0.36520831398665904,-0.04020831398665903,0.25380226381975846,0.07119773618024156,0.3118679812452586,0.5691467996729587,0.053340332741400355,0.5596045424709144,0.5679681144588157,-0.008363571987901275,0.18946326577373912,0.19474520403792955,-0.005281938264190433
raw_break_even_eligible,0.5,KO_TKO,4,4,0.25,0.30143946781754494,-0.05143946781754494,0.21426308914982706,0.03573691085017294,0.26805555555555555,0.5483015208978318,0.033383912261989376,0.2816324550685254,0.28198441301194316,-0.00035195794341774667,0.06567624905182418,0.07936667497325657,-0.013690425921432395
raw_break_even_eligible,0.5,SUB,2,2,0.0,0.25528938323259354,-0.25528938323259354,0.1463410731450851,-0.1463410731450851,0.18218623481781376,0.7027407658028622,0.07310314841477977,0.29516989244034975,0.15860718880661479,0.13656270363373496,0.06562760721721184,0.021974639036534502,0.043652968180677335
