fold,variant,feature,gain,weight,cover,gain_rank,used
2023,ko_specialist_no_ml,decision_win_rate_diff,0.0,0.0,0.0,77,False
2023,ko_specialist_no_ml,elo_diff,0.0,0.0,0.0,78,False
2023,ko_specialist_no_ml,ewm_avg_fight_time_diff,6.619338512420654,3.0,155.8583221435547,23,True
2023,ko_specialist_no_ml,ewm_avg_opponent_elo_diff,8.68277645111084,2.0,159.92678833007812,8,True
2023,ko_specialist_no_ml,ewm_best_win_elo_diff,0.0,0.0,0.0,79,False
2023,ko_specialist_no_ml,ewm_ctrl_against_per_min_diff,6.055897235870361,1.0,157.5745849609375,35,True
2023,ko_specialist_no_ml,ewm_ctrl_per_min_diff,8.750214576721191,8.0,155.9998321533203,7,True
2023,ko_specialist_no_ml,ewm_days_since_last_fight_diff,0.0,0.0,0.0,80,False
2023,ko_specialist_no_ml,ewm_decision_loss_rate_diff,0.0,0.0,0.0,81,False
2023,ko_specialist_no_ml,ewm_decision_win_rate_diff,0.0,0.0,0.0,82,False
2023,ko_specialist_no_ml,ewm_elo_diff,0.0,0.0,0.0,83,False
2023,ko_specialist_no_ml,ewm_fights_diff,5.992294788360596,2.0,156.41302490234375,36,True
2023,ko_specialist_no_ml,ewm_finish_loss_rate_diff,9.7740478515625,2.0,153.35464477539062,4,True
2023,ko_specialist_no_ml,ewm_finish_rate_diff,0.0,0.0,0.0,84,False
2023,ko_specialist_no_ml,ewm_kd_absorbed_avg_diff,7.616874694824219,4.0,156.48504638671875,15,True
2023,ko_specialist_no_ml,ewm_kd_avg_diff,0.0,0.0,0.0,85,False
2023,ko_specialist_no_ml,ewm_ko_rate_diff,0.0,0.0,0.0,86,False
2023,ko_specialist_no_ml,ewm_loss_streak_diff,4.4909234046936035,3.0,151.51710510253906,65,True
2023,ko_specialist_no_ml,ewm_losses_diff,8.050178527832031,2.0,156.05734252929688,12,True
2023,ko_specialist_no_ml,ewm_recent_avg_fight_time_diff,6.751331329345703,4.0,153.71421813964844,21,True
