period,threshold,threshold_pct,bets,wins,losses,win_rate,profit_units,roi
2025,0.085,8.5,4,3,1,0.75,3.2703703703703706,0.8175925925925926
2025,0.09,9.0,4,3,1,0.75,3.2703703703703706,0.8175925925925926
2025,0.095,9.5,3,3,0,1.0,4.270370370370371,1.423456790123457
2025,0.1,10.0,3,3,0,1.0,4.270370370370371,1.423456790123457
2026_Jan_Mar,0.0,0.0,113,71,42,0.6283185840707964,-2.2767845093254886,-0.020148535480756537
2026_Jan_Mar,0.005,0.5,98,62,36,0.6326530612244898,-3.1806615778834115,-0.03245573038656542
2026_Jan_Mar,0.01,1.0,91,56,35,0.6153846153846154,-4.136228293845315,-0.045453058174124344
2026_Jan_Mar,0.015,1.5,80,50,30,0.625,-2.2275542494394753,-0.027844428117993442
2026_Jan_Mar,0.02,2.0,69,45,24,0.6521739130434783,-1.5403229133778202,-0.022323520483736526
2026_Jan_Mar,0.025,2.5,62,40,22,0.6451612903225806,-1.3512320042869113,-0.021794064585272763
2026_Jan_Mar,0.03,3.0,46,28,18,0.6086956521739131,-3.8170114079548805,-0.08297850886858436
2026_Jan_Mar,0.035,3.5000000000000004,28,19,9,0.6785714285714286,0.3083543109822674,0.011012653963652407
2026_Jan_Mar,0.04,4.0,22,14,8,0.6363636363636364,-0.0484832958553395,-0.0022037861752427046
2026_Jan_Mar,0.045,4.5,16,11,5,0.6875,1.673842574791426,0.10461516092446413
2026_Jan_Mar,0.05,5.0,11,6,5,0.5454545454545454,-0.3455216961008579,-0.031411063281896176
2026_Jan_Mar,0.055,5.5,7,5,2,0.7142857142857143,2.0926805510901536,0.2989543644414505
2026_Jan_Mar,0.06,6.0,5,3,2,0.6,0.27902975743935965,0.05580595148787193
2026_Jan_Mar,0.065,6.5,5,3,2,0.6,0.27902975743935965,0.05580595148787193
2026_Jan_Mar,0.07,7.000000000000001,5,3,2,0.6,0.27902975743935965,0.05580595148787193
2026_Jan_Mar,0.075,7.5,5,3,2,0.6,0.27902975743935965,0.05580595148787193
2026_Jan_Mar,0.08,8.0,5,3,2,0.6,0.27902975743935965,0.05580595148787193
2026_Jan_Mar,0.085,8.5,5,3,2,0.6,0.27902975743935965,0.05580595148787193
2026_Jan_Mar,0.09,9.0,5,3,2,0.6,0.27902975743935965,0.05580595148787193
2026_Jan_Mar,0.095,9.5,3,3,0,1.0,2.2790297574393596,0.7596765858131199
2026_Jan_Mar,0.1,10.0,2,2,0,1.0,1.7413953488372091,0.8706976744186046
