logit_threshold,price_edge_threshold,fold,bets,fight_coverage,hit_rate,mean_model_p,mean_raw_p,calibration_gap,mean_price_edge,mean_signed_logit_residual,mean_model_implied_ev_margin,cards,bets_per_card
0.3,0.01,2021,116,0.2577777777777778,0.2672413793103448,0.30378299193649455,0.27652750732774317,-0.036541612626149744,0.027255484608751372,0.42670479262245964,0.10804542456733658,42,2.761904761904762
0.3,0.01,2022,89,0.20554272517321015,0.2696629213483146,0.2832947670576278,0.25880686474715264,-0.013631845709313195,0.024487902310475086,0.41210827094235547,0.10958002192734467,40,2.225
0.3,0.01,2023,111,0.2890625,0.2702702702702703,0.2933010827447917,0.26741292196713684,-0.023030812474521434,0.025888160777654816,0.3902286266378735,0.11726211450186498,39,2.8461538461538463
0.3,0.01,2024,74,0.2195845697329377,0.2972972972972973,0.3128328482444222,0.2909827378774083,-0.015535550947124888,0.02185011036701383,0.3942330070995192,0.08898338424185448,36,2.0555555555555554
0.3,0.02,2021,58,0.1288888888888889,0.25862068965517243,0.3290942044093691,0.28913534276885455,-0.07047351475419666,0.03995886164051444,0.4862849565348111,0.15310372051824186,37,1.5675675675675675
0.3,0.02,2022,42,0.09699769053117784,0.2619047619047619,0.30708054169302895,0.27104945916055123,-0.045175779788267034,0.036031082532477735,0.46877834618407777,0.15389075789738574,28,1.5
0.3,0.02,2023,74,0.19270833333333334,0.32432432432432434,0.3068208829373927,0.2756416686362993,0.017503441386931662,0.031179214301093373,0.4097162497813972,0.1353180148445807,34,2.176470588235294
0.3,0.02,2024,34,0.10089020771513353,0.2647058823529412,0.3486700838103014,0.31867748358919146,-0.08396420145736022,0.02999260022110993,0.43049779625223283,0.10774342620181283,22,1.5454545454545454
0.3,0.03,2021,31,0.06888888888888889,0.1935483870967742,0.3412142304643508,0.2874477386171653,-0.1476658433675766,0.0537664918471855,0.5485851947130167,0.2051816974820628,23,1.3478260869565217
0.3,0.03,2022,25,0.057736720554272515,0.16,0.312472807765007,0.2684278536471166,-0.15247280776500702,0.04404495411789038,0.5045689837327096,0.19049259602361243,19,1.3157894736842106
0.3,0.03,2023,29,0.07552083333333333,0.41379310344827586,0.3295213783095623,0.28765840008044324,0.08427172513871356,0.04186297822911902,0.44703772969239447,0.16834011375904076,20,1.45
0.3,0.03,2024,12,0.03560830860534125,0.3333333333333333,0.4028990219036738,0.3612866082205705,-0.06956568857034051,0.0416124136831033,0.4819471006888827,0.12882068652019948,11,1.0909090909090908
0.3,0.05,2021,15,0.03333333333333333,0.26666666666666666,0.3683539003133774,0.29747991337657814,-0.10168723364671073,0.07087398693679917,0.610154195737462,0.26022405068079624,13,1.1538461538461537
