fold,feature,gain,weight,cover,gain_rank,used
2022,career_ko_losses_diff,36.580745697021484,1.0,643.8428955078125,1,True
2022,chin_risk_diff,0.0,0.0,0.0,55,False
2022,ctrl_against_per_min_diff,0.0,0.0,0.0,56,False
2022,ctrl_per_min_diff,8.962430000305176,1.0,618.9697265625,36,True
2022,days_since_last_fight_diff,0.0,0.0,0.0,57,False
2022,days_since_last_ko_loss_diff,0.0,0.0,0.0,58,False
2022,decision_dependency_diff,8.271025657653809,1.0,623.1973876953125,43,True
2022,decision_loss_rate_diff,0.0,0.0,0.0,59,False
2022,decision_win_rate_diff,0.0,0.0,0.0,60,False
2022,elo_diff,0.0,0.0,0.0,61,False
2022,ewm_avg_fight_time_diff,0.0,0.0,0.0,62,False
2022,ewm_avg_opponent_elo_diff,0.0,0.0,0.0,63,False
2022,ewm_best_win_elo_diff,0.0,0.0,0.0,64,False
2022,ewm_ctrl_against_per_min_diff,0.0,0.0,0.0,65,False
2022,ewm_ctrl_per_min_diff,0.0,0.0,0.0,66,False
2022,ewm_days_since_last_fight_diff,0.0,0.0,0.0,67,False
2022,ewm_decision_loss_rate_diff,0.0,0.0,0.0,68,False
2022,ewm_decision_win_rate_diff,0.0,0.0,0.0,69,False
2022,ewm_elo_diff,7.467200756072998,2.0,624.3143920898438,48,True
2022,ewm_fights_diff,0.0,0.0,0.0,70,False
2022,ewm_finish_loss_rate_diff,0.0,0.0,0.0,71,False
2022,ewm_finish_rate_diff,0.0,0.0,0.0,72,False
2022,ewm_kd_absorbed_avg_diff,11.357307434082031,7.0,631.3095703125,20,True
2022,ewm_kd_avg_diff,0.0,0.0,0.0,73,False
2022,ewm_ko_rate_diff,10.968146324157715,1.0,631.19970703125,23,True
2022,ewm_loss_streak_diff,0.0,0.0,0.0,74,False
2022,ewm_losses_diff,0.0,0.0,0.0,75,False
2022,ewm_recent_avg_fight_time_diff,0.0,0.0,0.0,76,False
2022,ewm_recent_finish_rate_diff,0.0,0.0,0.0,77,False
2022,ewm_recent_sapm_diff,6.977267742156982,2.0,624.894287109375,49,True
2022,ewm_recent_splm_diff,11.223213195800781,5.0,633.7337036132812,22,True
2022,ewm_recent_td_avg_diff,14.954383850097656,6.0,635.4436645507812,12,True
2022,ewm_recent_win_pct_diff,0.0,0.0,0.0,78,False
2022,ewm_sapm_diff,0.0,0.0,0.0,79,False
2022,ewm_splm_diff,10.01951789855957,3.0,633.2518920898438,29,True
2022,ewm_str_acc_diff,7.995650291442871,1.0,626.5443725585938,47,True
2022,ewm_str_def_diff,0.0,0.0,0.0,80,False
2022,ewm_sub_avg_diff,0.0,0.0,0.0,81,False
2022,ewm_sub_win_rate_diff,9.72538948059082,2.0,629.6727905273438,30,True
2022,ewm_td_acc_diff,0.0,0.0,0.0,82,False
2022,ewm_td_avg_diff,23.325414657592773,11.0,637.9501342773438,4,True
2022,ewm_td_def_diff,0.0,0.0,0.0,83,False
2022,ewm_win_pct_diff,8.879237174987793,1.0,623.053955078125,37,True
2022,ewm_win_streak_diff,0.0,0.0,0.0,84,False
2022,ewm_wins_diff,0.0,0.0,0.0,85,False
2022,ewm_worst_loss_elo_diff,0.0,0.0,0.0,86,False
2022,experience_ratio_diff,0.0,0.0,0.0,87,False
2022,fights_diff,0.0,0.0,0.0,88,False
2022,finish_dependency_diff,0.0,0.0,0.0,89,False
2022,finish_loss_rate_diff,0.0,0.0,0.0,90,False
2022,finish_rate_diff,0.0,0.0,0.0,91,False
2022,height_diff,8.581783294677734,3.0,625.7356567382812,42,True
2022,kd_absorbed_avg_diff,11.350630760192871,7.0,630.1162109375,21,True
2022,kd_avg_diff,17.26457405090332,11.0,632.9845581054688,10,True
2022,ko_dependency_diff,24.863887786865234,10.0,637.0892944335938,3,True
2022,ko_rate_diff,17.117530822753906,2.0,632.1318359375,11,True
2022,ko_win_concentration_diff,0.0,0.0,0.0,92,False
2022,last_fight_ko_loss_diff,0.0,0.0,0.0,93,False
2022,loss_streak_diff,0.0,0.0,0.0,94,False
2022,losses_diff,0.0,0.0,0.0,95,False
2022,pressure_striking_adv_diff,0.0,0.0,0.0,96,False
2022,reach_diff,8.825840950012207,1.0,619.4087524414062,38,True
2022,recent_avg_fight_time_diff,0.0,0.0,0.0,97,False
2022,recent_finish_rate_diff,0.0,0.0,0.0,98,False
2022,recent_form_avg_fight_time_diff,0.0,0.0,0.0,99,False
2022,recent_form_avg_opponent_elo_diff,0.0,0.0,0.0,100,False
2022,recent_form_best_win_elo_diff,8.133845329284668,1.0,618.7659301757812,46,True
2022,recent_form_ctrl_against_per_min_diff,0.0,0.0,0.0,101,False
2022,recent_form_ctrl_per_min_diff,0.0,0.0,0.0,102,False
2022,recent_form_days_since_last_fight_diff,8.172148704528809,1.0,626.6796264648438,45,True
2022,recent_form_decision_loss_rate_diff,10.911761283874512,10.0,628.4758911132812,24,True
