fight_id,event_name,fight_display,refresh_timestamp,red_fighter,blue_fighter,predicted_side,bet_slug,model_probability,normalized_market_probability,signed_logit_residual,raw_implied_probability,american_odds,decimal_odds,target,won,profit_units
410e6b9e01660b35,UFC Fight Night: Du Plessis vs. Usman,Alden Coria vs Stewart Nicoll,2026-07-17 20:16:59.459648+00:00,Alden Coria,Stewart Nicoll,red,red_dec,0.3472879557553826,0.2801605163701218,0.31268375715597674,0.3333333333333333,200.0,3.0,,,
0eba299c9b6760fa,UFC Fight Night: Hernandez vs. Rodrigues,Reinier de Ridder vs Roman Dolidze,2026-08-21 20:39:18.694686+00:00,Reinier de Ridder,Roman Dolidze,red,red_ko,0.17326061160185144,0.12824945133924562,0.3538334789121145,0.15384615384615385,550.0,6.5,,,
eb8753ed0476b3d1,UFC Fight Night: Medic vs. Rodriguez,Aleksandar Rakic vs Marcin Tybura,2026-07-31 21:20:50.686938+00:00,Aleksandar Rakic,Marcin Tybura,red,red_dec,0.38962498534562856,0.2998618489219282,0.3990669633408161,0.35714285714285715,180.0,2.8,,,
1a7119f3996b5635,UFC Fight Night: Fiziev vs. Torres,Kaan Ofli vs Javier Reyes,2026-06-26 23:21:05.564609+00:00,Kaan Ofli,Javier Reyes,blue,blue_dec,0.29829572852179814,0.21931914660531865,0.4142117909169223,0.26666666666666666,275.0,3.75,,,
fbd99ae7e1ff993a,UFC Fight Night: Medic vs. Rodriguez,Ludovit Klein vs Tofiq Musayev,2026-07-31 21:20:50.686938+00:00,Ludovit Klein,Tofiq Musayev,red,red_dec,0.46303993641541186,0.37534000942149004,0.361264763536381,0.45454545454545453,120.0,2.2,,,
6a35ff33b8597904,UFC Fight Night: Fiziev vs. Torres,Farman Hasanov vs Eric Nolan,2026-06-26 23:21:05.564609+00:00,Farman Hasanov,Eric Nolan,red,red_dec,0.24070014125104622,0.18045235567894177,0.364440910734092,0.2222222222222222,350.0,4.5,,,
b223b10ef19f912c,UFC 329: McGregor vs. Holloway 2,Damian Pinas vs Cesar Almeida,2026-07-10 20:36:17.559163+00:00,Damian Pinas,Cesar Almeida,red,red_dec,0.22605333354731744,0.15298163673018855,0.4806724777197955,0.18181818181818182,450.0,5.5,,,
48b1ee7ab45add4c,UFC Fight Night: Fiziev vs. Torres,Abdul Rakhman Yakhyaev vs Julius Walker,2026-06-26 23:21:05.564609+00:00,Abdul Rakhman Yakhyaev,Julius Walker,red,red_dec,0.18607159620949767,0.13818592287805412,0.35469863336975993,0.16666666666666666,500.0,6.0,,,
c64c6ba6eb1e1d06,UFC Fight Night: Du Plessis vs. Usman,Tommy McMillen vs Alberto Montes,2026-07-17 20:16:59.459648+00:00,Tommy McMillen,Alberto Montes,red,red_dec,0.18640533977252713,0.1373367443112966,0.3640497824796325,0.16666666666666666,500.0,6.0,,,
a3ab1979192b647c,UFC 329: McGregor vs. Holloway 2,Brandon Royval vs Lone'er Kavanagh,2026-07-10 20:36:17.559163+00:00,Brandon Royval,Lone'er Kavanagh,blue,blue_dec,0.42208987920921126,0.34988148413965037,0.3053601170133017,0.4166666666666667,140.0,2.4,,,
0e60ab32f3d03929,UFC Fight Night: Fiziev vs. Torres,Daniil Donchenko vs Theodor Berggren,2026-06-26 23:21:05.564609+00:00,Daniil Donchenko,Theodor Berggren,red,red_dec,0.257800106927104,0.18662172267922716,0.41467849309759686,0.2222222222222222,350.0,4.5,,,
52ddf20a10890b41,UFC Fight Night: Du Plessis vs. Usman,Tabatha Ricci vs Fatima Kline,2026-07-17 20:16:59.459648+00:00,Tabatha Ricci,Fatima Kline,blue,blue_dec,0.6386011317894982,0.5534618913493783,0.35462965303964156,0.6666666666666666,-200.0,1.5,,,
3bd159c1bed14700,UFC Fight Night: Du Plessis vs. Usman,Austin Bashi vs Jose Delgado,2026-07-17 20:16:59.459648+00:00,Austin Bashi,Jose Delgado,red,red_dec,0.35626144154265565,0.2719886965736488,0.3929282351709712,0.3333333333333333,200.0,3.0,,,
a4b3becc0cc394d7,UFC Fight Night: Hernandez vs. Rodrigues,Carli Judice vs Jeisla Chaves,2026-08-21 20:39:18.694686+00:00,Carli Judice,Jeisla Chaves,red,red_dec,0.491851483546066,0.3823241500711086,0.44709804413130355,0.45454545454545453,120.0,2.2,,,
a26ea74f2e908842,UFC 329: McGregor vs. Holloway 2,King Green vs Terrance McKinney,2026-07-10 20:36:17.559163+00:00,King Green,Terrance McKinney,red,red_dec,0.06742006466471719,0.049144218990708276,0.3355909808132984,0.058823529411764705,1600.0,17.0,,,
5425c577ed4f50b3,UFC Fight Night: Medic vs. Rodriguez,Mateusz Rebecki vs Kyle Prepolec,2026-07-31 21:20:50.686938+00:00,Mateusz Rebecki,Kyle Prepolec,red,red_dec,0.38283098704130314,0.27658762345531757,0.4839024465691852,0.3333333333333333,200.0,3.0,,,
118c25bda9392140,UFC 329: McGregor vs. Holloway 2,Gable Steveson vs Elisha Ellison,2026-07-10 20:36:17.559163+00:00,Gable Steveson,Elisha Ellison,red,red_dec,0.0626767969471409,0.04475677807539986,0.35568624993392683,0.05263157894736842,1800.0,19.0,,,
46d800ce45fdd3e6,UFC Fight Night: Du Plessis vs. Usman,Levi Rodrigues Jr. vs Felipe Franco,2026-07-17 20:16:59.459648+00:00,Levi Rodrigues Jr.,Felipe Franco,red,red_dec,0.15023662925576278,0.0836536854420859,0.6609625376462707,0.1,900.0,10.0,,,
d5245f5b96b8afdf,UFC Fight Night: Gamrot vs. Salkilld,Diego Ferreira vs Billy Quarantillo,2026-08-07 20:54:02.712432+00:00,Diego Ferreira,Billy Quarantillo,red,red_dec,0.23390347030118785,0.1837985879042187,0.3044209564309972,0.2222222222222222,350.0,4.5,,,
e05155c1b5c2dc74,UFC Fight Night: Du Plessis vs. Usman,RJ Harris vs Alvin Hines,2026-07-17 20:16:59.459648+00:00,RJ Harris,Alvin Hines,red,red_dec,0.23217082496280048,0.14902944873026416,0.5461397293642114,0.18181818181818182,450.0,5.5,,,
3050549d19395f6f,UFC Fight Night: Gamrot vs. Salkilld,Steven Asplund vs Guilherme Pat,2026-08-07 20:54:02.712432+00:00,Steven Asplund,Guilherme Pat,red,red_dec,0.4064581840355632,0.3188072273633985,0.3806321090697744,0.37735849056603776,165.0,2.65,,,
13aa6688d0538095,UFC Fight Night: Medic vs. Rodriguez,Dennis Buzukja vs Bogdan Grad,2026-07-31 21:20:50.686938+00:00,Dennis Buzukja,Bogdan Grad,blue,blue_dec,0.42740919803065364,0.33001386612882894,0.4156928789432076,0.4,150.0,2.5,,,
7e86f774f19e5e59,UFC Fight Night: Hernandez vs. Rodrigues,Marcio Barbosa vs Ryan Kuse,2026-08-21 20:39:18.694686+00:00,Marcio Barbosa,Ryan Kuse,red,red_dec,0.10536017445273964,0.07701869126308329,0.3445243531584583,0.09090909090909091,1000.0,11.0,,,
3859314324918eeb,UFC Fight Night: Ankalaev vs. Guskov,Nurullo Aliev vs Mike Davis,2026-07-24 20:31:56.149697+00:00,Nurullo Aliev,Mike Davis,red,red_dec,0.5189752140971207,0.4314087372328601,0.35204317218848896,0.5238095238095238,-110.0,1.909090909090909,,,
61280e5644189c61,UFC Fight Night: Ankalaev vs. Guskov,Abubakar Vagaev vs Saygid Izagakhmaev,2026-07-24 20:31:56.149697+00:00,Abubakar Vagaev,Saygid Izagakhmaev,red,red_dec,0.5509671325446805,0.4704334238012995,0.3229835134613034,0.574468085106383,-135.0,1.7407407407407405,,,
