fight_id,event_name,fight_display,refresh_timestamp,red_fighter,blue_fighter,v5_model_p_red,predicted_side,bet_fighter,bet_slug,model_probability,normalized_market_probability,raw_implied_probability,american_odds,decimal_odds,actual_winner,actual_method,target,won,stake_units,profit_units
13f31f7a784013a3,UFC Fight Night: Gamrot vs. Salkilld,Amanda Lemos vs Alexia Thainara,2026-08-07 20:54:02.712432+00:00,Amanda Lemos,Alexia Thainara,0.2876599568317611,blue,Alexia Thainara,blue_dec,0.4877560426597109,0.4305028462998102,0.5238095238095238,-110.0,1.9090909090909092,Alexia Thainara,Decision - Unanimous,5,1,1.0,0.9090909090909092
11e4a448ce1ae5e3,UFC Fight Night: Hernandez vs. Rodrigues,Wes Schultz vs Jackson McVey,2026-08-21 20:39:18.694686+00:00,Wes Schultz,Jackson McVey,0.4302302568427762,blue,Jackson McVey,blue_ko,0.3734448900123256,0.325,0.4,150.0,2.5,Jackson McVey,KO/TKO,3,1,1.0,1.5
1b6a3b0d27654d3e,UFC 329: McGregor vs. Holloway 2,Alessandro Costa vs Cody Durden,2026-07-10 20:36:17.559163+00:00,Alessandro Costa,Cody Durden,0.6832958261323351,red,Alessandro Costa,red_dec,0.2571233639105676,0.2160878598990798,0.26666666666666666,275.0,3.75,Alessandro Costa,Submission,1,0,1.0,-1.0
d463229133909215,UFC Fight Night: Gamrot vs. Salkilld,Juliana Miller vs Ravena Oliveira,2026-08-07 20:54:02.712432+00:00,Juliana Miller,Ravena Oliveira,0.7135519579877039,red,Juliana Miller,red_sub,0.3308397326648865,0.3639794527728274,0.43478260869565216,130.0,2.3,Juliana Miller,Submission,1,1,1.0,1.2999999999999998
3ac870d6e7d323b7,UFC Fight Night: Ankalaev vs. Guskov,Magomed Tuchalov vs Brendson Ribeiro,2026-07-24 20:31:56.149697+00:00,Magomed Tuchalov,Brendson Ribeiro,0.8846531964208141,red,Magomed Tuchalov,red_ko,0.6794351490572758,0.6268444302058369,0.75,-300.0,1.3333333333333333,Magomed Tuchalov,Decision - Unanimous,2,0,1.0,-1.0
f2eb569176e46edf,UFC Fight Night: Du Plessis vs. Usman,Jean-Paul Lebosnoyani vs Seokhyeon Ko,2026-07-17 20:16:59.459648+00:00,Jean-Paul Lebosnoyani,Seokhyeon Ko,0.3763721927153802,blue,Seokhyeon Ko,blue_dec,0.4112490866858874,0.3666121112929623,0.4444444444444444,125.0,2.25,Jean-Paul Lebosnoyani,Decision - Unanimous,2,0,1.0,-1.0
1a7119f3996b5635,UFC Fight Night: Fiziev vs. Torres,Kaan Ofli vs Javier Reyes,2026-06-26 23:21:05.564609+00:00,Kaan Ofli,Javier Reyes,0.3130416985228447,blue,Javier Reyes,blue_dec,0.2982957285217981,0.2193191466053186,0.26666666666666666,275.0,3.75,Kaan Ofli,Submission,1,0,1.0,-1.0
f1cb2e7ef096ec7c,UFC Fight Night: Fiziev vs. Torres,Tahir Abdullayev vs Jefferson Nascimento,2026-06-26 23:21:05.564609+00:00,Tahir Abdullayev,Jefferson Nascimento,0.4582754226110355,blue,Jefferson Nascimento,blue_dec,0.328991495196162,0.271927739481816,0.3333333333333333,200.0,3.0,Tahir Abdullayev,KO/TKO,0,0,1.0,-1.0
d4bd456d70965734,UFC 330: Makhachev vs. Machado Garry,Jalin Turner vs Kaue Fernandes,2026-08-14 20:42:43.693741+00:00,Jalin Turner,Kaue Fernandes,0.5681396822421064,red,Jalin Turner,red_ko,0.3201876401482932,0.2990215837883396,0.36363636363636365,175.0,2.75,Jalin Turner,KO/TKO,0,1,1.0,1.75
81ae2a465e0dfa4f,UFC Fight Night: Gamrot vs. Salkilld,Manoel Sousa vs Richie Miranda,2026-08-07 20:54:02.712432+00:00,Manoel Sousa,Richie Miranda,0.6957008453601914,red,Manoel Sousa,red_dec,0.3260669188440591,0.3001912983764163,0.36363636363636365,175.0,2.75,Manoel Sousa,Decision - Unanimous,2,1,1.0,1.75
6e495deac1f57169,UFC 330: Makhachev vs. Machado Garry,Chidi Njokuani vs Joel Alvarez,2026-08-14 20:42:43.693741+00:00,Chidi Njokuani,Joel Alvarez,0.28683068992587,blue,Joel Alvarez,blue_sub,0.2901626628190539,0.2982808758125214,0.35714285714285715,180.0,2.8,Chidi Njokuani,Decision - Unanimous,2,0,1.0,-1.0
fbd99ae7e1ff993a,UFC Fight Night: Medic vs. Rodriguez,Ludovit Klein vs Tofiq Musayev,2026-07-31 21:20:50.686938+00:00,Ludovit Klein,Tofiq Musayev,0.7123804443613113,red,Ludovit Klein,red_dec,0.4630399364154118,0.37534000942149,0.45454545454545453,120.0,2.2,Tofiq Musayev,KO/TKO,3,0,1.0,-1.0
2bbacf9ed3c64184,UFC Fight Night: Hernandez vs. Rodrigues,Jamall Emmers vs Lerryan Douglas,2026-08-21 20:39:18.694686+00:00,Jamall Emmers,Lerryan Douglas,0.2390650185284323,blue,Lerryan Douglas,blue_ko,0.571593892764346,0.56202891680493,0.6666666666666666,-200.0,1.5,Jamall Emmers,KO/TKO,0,0,1.0,-1.0
6a35ff33b8597904,UFC Fight Night: Fiziev vs. Torres,Farman Hasanov vs Eric Nolan,2026-06-26 23:21:05.564609+00:00,Farman Hasanov,Eric Nolan,0.6067214758736114,red,Farman Hasanov,red_dec,0.2407001412510462,0.1804523556789417,0.2222222222222222,350.0,4.5,Farman Hasanov,Decision - Unanimous,2,1,1.0,3.5
b223b10ef19f912c,UFC 329: McGregor vs. Holloway 2,Damian Pinas vs Cesar Almeida,2026-07-10 20:36:17.559163+00:00,Damian Pinas,Cesar Almeida,0.7195232170258973,red,Damian Pinas,red_ko,0.4001736894074997,0.4500506289853221,0.5348837209302325,-115.0,1.8695652173913042,Damian Pinas,KO/TKO,0,1,1.0,0.8695652173913042
c572daedf2012a49,UFC 329: McGregor vs. Holloway 2,Cory Sandhagen vs Mario Bautista,2026-07-10 20:36:17.559163+00:00,Cory Sandhagen,Mario Bautista,0.5538651489853167,red,Cory Sandhagen,red_dec,0.3314266127021613,0.2922861278981594,0.3508771929824561,185.0,2.85,Mario Bautista,Decision - Unanimous,5,0,1.0,-1.0
5d2c1c4dd444772f,UFC Fight Night: Hernandez vs. Rodrigues,Kennedy Nzechukwu vs Shamil Gaziev,2026-08-21 20:39:18.694686+00:00,Kennedy Nzechukwu,Shamil Gaziev,0.4836711763221249,blue,Shamil Gaziev,blue_ko,0.2749321855819787,0.333220059226176,0.4,150.0,2.5,Shamil Gaziev,KO/TKO,3,1,1.0,1.5
68ae50dbf98dc15f,UFC Fight Night: Medic vs. Rodriguez,Uros Medic vs Daniel Rodriguez,2026-07-31 21:20:50.686938+00:00,Uros Medic,Daniel Rodriguez,0.7998059908757752,red,Uros Medic,red_ko,0.6627469857033927,0.6062559265998616,0.7333333333333333,-275.0,1.3636363636363638,Uros Medic,KO/TKO,0,1,1.0,0.36363636363636376
48b1ee7ab45add4c,UFC Fight Night: Fiziev vs. Torres,Abdul Rakhman Yakhyaev vs Julius Walker,2026-06-26 23:21:05.564609+00:00,Abdul Rakhman Yakhyaev,Julius Walker,0.84273087125096,red,Abdul Rakhman Yakhyaev,red_sub,0.3532894855797609,0.3768706987583294,0.45454545454545453,120.0,2.2,Abdul Rakhman Yakhyaev,KO/TKO,0,0,1.0,-1.0
c64c6ba6eb1e1d06,UFC Fight Night: Du Plessis vs. Usman,Tommy McMillen vs Alberto Montes,2026-07-17 20:16:59.459648+00:00,Tommy McMillen,Alberto Montes,0.624422563243322,red,Tommy McMillen,red_ko,0.2221622735448549,0.2423589605493469,0.29411764705882354,240.0,3.4,Tommy McMillen,KO/TKO,0,1,1.0,2.4
f6e6b004f07363e9,UFC Fight Night: Ankalaev vs. Guskov,Santiago Ponzinibbio vs Sam Patterson,2026-07-24 20:31:56.149697+00:00,Santiago Ponzinibbio,Sam Patterson,0.1996625933255373,blue,Sam Patterson,blue_ko,0.3842891545976375,0.3957225370502411,0.47619047619047616,110.0,2.1,Sam Patterson,KO/TKO,3,1,1.0,1.1
a3ab1979192b647c,UFC 329: McGregor vs. Holloway 2,Brandon Royval vs Lone'er Kavanagh,2026-07-10 20:36:17.559163+00:00,Brandon Royval,Lone'er Kavanagh,0.3159589255250164,blue,Lone'er Kavanagh,blue_dec,0.4220898792092112,0.3498814841396503,0.4166666666666667,140.0,2.4,Brandon Royval,Submission,1,0,1.0,-1.0
