fold,fight_id,won,market_margin,correction
2021,f98e954823bd6e02,0,-0.1775064894913534,0.030075473523030638
2021,05ceb8b2f93993a6,1,0.081262964078766,0.11628612571062456
2021,15b1c7ddc4415fdd,0,-0.7784447610718404,0.046315723691621846
2021,1d892fec31dc7ad7,0,-0.31309178797714876,-0.21576431067473723
2021,82243207b4dfce87,0,0.4934338810541211,0.07026119207362547
2021,8f7328fe18806fb0,0,-0.4276009637403904,0.16885824385170328
2021,931fd51ab69fb443,1,-0.19994772592855858,-0.1414277442328794
2021,990c2378caec68d4,0,-0.10536051565782652,-0.21054156845434085
2021,b12bc15f384ecc42,0,1.1631508098056806,0.3159760012218462
2021,b9cd4910f0ecff45,1,-0.4934338810541215,-0.18014771913508748
2021,c3b6aa47e7532a7b,1,0.7453329337305153,-0.05082414276066671
2021,e175c1a0bff30187,0,0.0,0.31584712862968445
2021,11a83369d49ad138,0,-0.5233780898371105,-0.06937228066536139
2021,3a4e2dffcdd1c838,0,-0.9650808960435872,0.1522654682634358
2021,3eac2d47ac252f4b,0,0.6549259677397475,0.08448258490688942
2021,4a704dae3091adaf,0,-0.6795942141552419,0.04833948154644674
2021,6a0341234ecc4e87,1,0.3220834991691131,-0.09804805729365534
2021,a7315147a7022a93,1,-0.6405163170045755,0.4096073270982644
2021,bc86601cf781a89c,1,0.3700596756001284,0.31302475271026586
2021,c2ee423d1f0b4f6f,1,-0.21115710643384203,-0.13669512363817946
2021,04a788abbbd1f256,0,-0.5233780898371105,-0.042594417162858944
2021,15c9cb5f9320c555,0,0.10444117427409029,0.006626135701533795
2021,2704d31de2c2f43b,1,0.35657689991688807,0.05804192003512304
2021,50ef636148fa6fac,0,-0.7503055943998941,0.35493055124613127
2021,5980ab31e4718a83,0,0.6549259677397475,-0.15440997032992698
2021,7ad09f889d2cdb6f,1,0.6549259677397475,-0.06536319403521873
2021,7de9867b7cc2b1b1,1,-0.7728553841326876,0.04650662638885217
2021,873306ad79b62f5e,0,-0.22664795224536186,0.17875481923092132
2021,ae5d14a9fc1ad19c,0,-0.28640574809217634,-0.1548412979016286
2021,c06d7bb29bc24d00,1,1.3401569253532102,0.2828168743522952
2021,c096342c57a6f2c4,0,0.7503055943998937,-0.08880049128862666
2021,d170f6580e1c244f,1,-0.7036973914550977,-0.0330827155662341
2021,e2abba69c3371618,1,0.5877866649021192,-0.1472569012035413
