URL	https://www.bestfightodds.com/events/ufc-belgrade-4285
629	Valentin wins in round 1 or 2
630	Any other result
631	Fight ends in round 1 or 2
632	Any other result
633	Fight ends in final round or goes to decision
634	Any other result
635	Fight ends in final round or goes to decision
636	Any other result
637	Fight ends in final round or goes to decision
638	Any other result
639	Todorovic wins in final round or by decision
640	Any other result
641	Valentin wins in final round or by decision
642	Any other result
643	Fight ends in TKO/KO/DQ in round 1
644	Any other result
645	Fight ends in TKO/KO/DQ in round 2
646	Any other result
647	Fight ends in TKO/KO/DQ in round 3
648	Any other result
649	Fight ends in submission in round 1
650	Any other result
651	Fight ends in submission in round 2
652	Any other result
653	Fight ends in submission in round 3
654	Any other result
655	44228 Milos Janicic
656	Noah Gugnon
657	Over 1½ rounds
658	Under 1½ rounds
659	Over 2½ rounds
660	Under 2½ rounds
661	Fight goes to decision
662	Fight doesn't go to decision
663	Fight starts round 2
664	Fight won't start round 2
665	Fight starts round 3
666	Fight won't start round 3
667	Fight is a draw
668	Fight is not a draw
669	Janicic wins by TKO/KO
670	Any other result
671	Gugnon wins by TKO/KO
672	Any other result
673	Janicic wins by submission
674	Any other result
675	Gugnon wins by submission
676	Any other result
677	Janicic wins inside distance
678	Not Janicic inside distance
679	Gugnon wins inside distance
680	Not Gugnon inside distance
681	Janicic wins by decision
682	Not Janicic by decision
683	Gugnon wins by decision
684	Not Gugnon by decision
685	Janicic wins in round 1
686	Any other result
687	Gugnon wins in round 1
688	Any other result
689	Janicic wins in round 2
690	Any other result
691	Gugnon wins in round 2
692	Any other result
693	Janicic wins in round 3
694	Any other result
695	Gugnon wins in round 3
696	Any other result
697	Fight ends in round 1
698	Fight doesn't end in round 1
699	Fight ends in round 1
700	Fight doesn't end in round 1
701	Fight ends in round 1
702	Fight doesn't end in round 1
703	Fight ends in round 2
704	Fight doesn't end in round 2
705	Fight ends in round 2
706	Fight doesn't end in round 2
707	Fight ends in round 2
708	Fight doesn't end in round 2
709	Fight ends in round 3
710	Fight doesn't end in round 3
711	Fight ends in round 3
712	Fight doesn't end in round 3
713	Fight ends in round 3
714	Fight doesn't end in round 3
715	Janicic (scorecards = no action)
716	Gugnon (scorecards = no action)
717	Gugnon (scorecards = no action)
718	Janicic (scorecards = no action)
719	Janicic wins by TKO/KO in round 1
720	Any other result
721	Gugnon wins by TKO/KO in round 1
722	Any other result
723	Janicic wins by submission in round 1
724	Any other result
725	Gugnon wins by submission in round 1
726	Any other result
727	Janicic wins by TKO/KO in round 2
728	Any other result
729	Gugnon wins by TKO/KO in round 2
730	Any other result
731	Janicic wins by TKO/KO in round 3
732	Any other result
733	Gugnon wins by TKO/KO in round 3
734	Any other result
735	Janicic wins by submission in round 2
736	Any other result
737	Gugnon wins by submission in round 2
738	Any other result
739	Janicic wins by submission in round 3
740	Any other result
741	Gugnon wins by submission in round 3
742	Any other result
743	Either fighter wins by TKO/KO
744	Any other result
745	Either fighter wins by submission
746	Any other result
747	Janicic wins in round 1 or 2
748	Any other result
749	Gugnon wins in round 1 or 2
750	Any other result
751	Fight ends in round 1 or 2
752	Any other result
753	Fight ends in final round or goes to decision
754	Any other result
755	Fight ends in final round or goes to decision
756	Any other result
757	Fight ends in final round or goes to decision
758	Any other result
759	Janicic wins in final round or by decision
760	Any other result
761	Gugnon wins in final round or by decision
762	Any other result
763	Fight ends in TKO/KO/DQ in round 1
764	Any other result
765	Fight ends in TKO/KO/DQ in round 2
766	Any other result
767	Fight ends in TKO/KO/DQ in round 3
768	Any other result
769	Fight ends in submission in round 1
770	Any other result
771	Fight ends in submission in round 2
772	Any other result
773	Fight ends in submission in round 3
774	Any other result
775	44222 Ludovit Klein
776	Tofiq Musayev
777	Over 1½ rounds
778	Under 1½ rounds
779	Over 2½ rounds
780	Under 2½ rounds
781	Fight goes to decision
782	Fight doesn't go to decision
783	Fight starts round 2
784	Fight won't start round 2
785	Fight starts round 3
786	Fight won't start round 3
787	Fight is a draw
788	Fight is not a draw
789	Klein wins by TKO/KO
790	Any other result
791	Musayev wins by TKO/KO
792	Any other result
793	Klein wins by submission
794	Any other result
795	Musayev wins by submission
796	Any other result
797	Klein wins inside distance
798	Not Klein inside distance
799	Musayev wins inside distance
800	Not Musayev inside distance
801	Klein wins by decision
802	Not Klein by decision
803	Musayev wins by decision
804	Not Musayev by decision
805	Klein wins in round 1
806	Any other result
807	Musayev wins in round 1
808	Any other result
809	Klein wins in round 2
810	Any other result
811	Musayev wins in round 2
812	Any other result
813	Klein wins in round 3
814	Any other result
815	Musayev wins in round 3
816	Any other result
817	Fight ends in round 1
818	Fight doesn't end in round 1
819	Fight ends in round 1
820	Fight doesn't end in round 1
821	Fight ends in round 1
822	Fight doesn't end in round 1
823	Fight ends in round 2
824	Fight doesn't end in round 2
825	Fight ends in round 2
826	Fight doesn't end in round 2
827	Fight ends in round 2
828	Fight doesn't end in round 2
829	Fight ends in round 3
830	Fight doesn't end in round 3
831	Fight ends in round 3
832	Fight doesn't end in round 3
833	Fight ends in round 3
834	Fight doesn't end in round 3
835	Klein (scorecards = no action)
836	Musayev (scorecards = no action)
837	Musayev (scorecards = no action)
838	Klein (scorecards = no action)
839	Klein wins by TKO/KO in round 1
840	Any other result
