period,analysis,market_p_bucket,edge_bucket,bets,wins,losses,win_rate,profit_units,roi,avg_market_p,avg_v5_p,avg_edge
2025,market_probability,70-80%,ALL,57,48,9,0.8421052631578947,4.417230676302153,0.07749527502284478,0.7507682821367466,0.778104971072801,0.027336688936054267
2025,market_probability,80%+,ALL,49,46,3,0.9387755102040817,3.5955613591070543,0.07337880324708274,0.840797609202972,0.8617425628676191,0.020944953664646944
2025,market_x_edge,<30%,0-2%,30,8,22,0.26666666666666666,6.999999999999998,0.23333333333333328,0.22965966031420332,0.23807064940359782,0.008410989089394352
2025,market_x_edge,<30%,2-4%,9,2,7,0.2222222222222222,-1.2999999999999998,-0.14444444444444443,0.25182500858164,0.2842350172585102,0.03241000867687016
2025,market_x_edge,<30%,4-6%,5,2,3,0.4,2.9000000000000004,0.5800000000000001,0.2149727699121376,0.260384777828671,0.04541200791653334
2025,market_x_edge,<30%,6-7.5%,0,0,0,,0.0,,,,
2025,market_x_edge,<30%,7.5%+,0,0,0,,0.0,,,,
2025,market_x_edge,30-40%,0-2%,23,10,13,0.43478260869565216,4.03,0.17521739130434782,0.34574146182068854,0.3547853631662395,0.009043901345551024
2025,market_x_edge,30-40%,2-4%,18,8,10,0.4444444444444444,4.4399999999999995,0.24666666666666665,0.35282265941117597,0.3804628579978495,0.027640198586673433
2025,market_x_edge,30-40%,4-6%,10,3,7,0.3,-1.2899999999999998,-0.12899999999999998,0.34104603872772776,0.38907313801198457,0.04802709928425687
2025,market_x_edge,30-40%,6-7.5%,3,1,2,0.3333333333333333,-0.24,-0.08,0.346860993512442,0.4116439349755656,0.06478294146312354
2025,market_x_edge,30-40%,7.5%+,5,3,2,0.6,3.4200000000000004,0.684,0.3454754780712115,0.4475492118774479,0.10207373380623644
2025,market_x_edge,40-50%,0-2%,13,9,4,0.6923076923076923,6.221538461538462,0.4785798816568048,0.45174810158492085,0.4626120282952992,0.010863926710378176
2025,market_x_edge,40-50%,2-4%,13,9,4,0.6923076923076923,6.443469079939669,0.4956514676876669,0.4446327445158988,0.47539197748969825,0.030759232973799344
2025,market_x_edge,40-50%,4-6%,10,6,4,0.6,2.5407843137254904,0.25407843137254904,0.4515666688469685,0.5011691618304221,0.04960249298345357
2025,market_x_edge,40-50%,6-7.5%,1,1,0,1.0,1.34,1.34,0.4110112789141655,0.4728198815921399,0.0618086026779744
2025,market_x_edge,40-50%,7.5%+,1,0,1,0.0,-1.0,-1.0,0.4580943978826642,0.5377576786319006,0.0796632807492363
2025,market_x_edge,50-60%,0-2%,23,15,8,0.6521739130434783,2.8700009180632833,0.1247826486114471,0.5493706644773968,0.5587434816696477,0.00937281719225095
2025,market_x_edge,50-60%,2-4%,21,15,6,0.7142857142857143,4.85074669930332,0.23098793806206286,0.5647977632094294,0.5944551111458787,0.029657347936449224
2025,market_x_edge,50-60%,4-6%,14,9,5,0.6428571428571429,0.8056053088942996,0.05754323634959283,0.5592900225619197,0.6082427347272248,0.04895271216530496
2025,market_x_edge,50-60%,6-7.5%,6,6,0,1.0,4.437590791817297,0.7395984653028829,0.5542818715818317,0.6201453527912645,0.0658634812094326
2025,market_x_edge,50-60%,7.5%+,4,2,2,0.5,-0.7573325100339612,-0.1893331275084903,0.5770716586226126,0.6561350881019159,0.07906342947930345
2025,market_x_edge,60-70%,0-2%,28,17,11,0.6071428571428571,-3.798905161794189,-0.13567518434979248,0.6677605609751176,0.6794822163681511,0.011721655393033404
2025,market_x_edge,60-70%,2-4%,30,17,13,0.5666666666666667,-5.1963713892588075,-0.17321237964196026,0.6542457706619759,0.68192841692937,0.027682646267394237
2025,market_x_edge,60-70%,4-6%,14,9,5,0.6428571428571429,-0.6173492885671805,-0.04409637775479861,0.6445779986175267,0.6931598409562201,0.04858184233869336
2025,market_x_edge,60-70%,6-7.5%,4,2,2,0.5,-1.1996798719487796,-0.2999199679871949,0.6626046236847638,0.7293318948284376,0.06672727114367362
2025,market_x_edge,60-70%,7.5%+,1,1,0,1.0,0.5813953488372092,0.5813953488372092,0.6067545685866297,0.6904690048672818,0.0837144362806521
2025,market_x_edge,70-80%,0-2%,20,17,3,0.85,1.822213556983236,0.0911106778491618,0.7495459758804659,0.757600708263625,0.008054732383159215
2025,market_x_edge,70-80%,2-4%,25,21,4,0.84,1.4807550355800894,0.05923020142320357,0.7575388844888771,0.7873173353971832,0.029778450908305873
2025,market_x_edge,70-80%,4-6%,11,9,2,0.8181818181818182,0.7438917133684575,0.0676265193971325,0.7422034888553654,0.7878171616764603,0.045613672821094825
2025,market_x_edge,70-80%,6-7.5%,0,0,0,,0.0,,,,
2025,market_x_edge,70-80%,7.5%+,1,1,0,1.0,0.3703703703703704,0.3703703703703704,0.7001620745542949,0.8510470225065139,0.1508849479522189
2025,market_x_edge,80%+,0-2%,24,22,2,0.9166666666666666,1.0301436090913025,0.04292265037880427,0.8452932473496277,0.8554073530345147,0.01011410568488677
2025,market_x_edge,80%+,2-4%,21,21,0,1.0,3.086752253966586,0.14698820256983744,0.8374657043839078,0.8664141753366641,0.028948470952756395
2025,market_x_edge,80%+,4-6%,4,3,1,0.75,-0.5213345039508341,-0.13033362598770853,0.8313162806231247,0.8752278564037581,0.04391157578063339
2025,market_x_edge,80%+,6-7.5%,0,0,0,,0.0,,,,
2025,market_x_edge,80%+,7.5%+,0,0,0,,0.0,,,,
2026_Jan_Mar,market_probability,<30%,ALL,13,2,11,0.15384615384615385,-5.6,-0.43076923076923074,0.23271471375228364,0.25252880202806244,0.019814088275778775
2026_Jan_Mar,market_probability,30-40%,ALL,8,4,4,0.5,3.03,0.37875,0.3498053590392247,0.3782831338403976,0.028477774801172813
2026_Jan_Mar,market_probability,40-50%,ALL,18,6,12,0.3333333333333333,-5.38,-0.29888888888888887,0.44682060095646403,0.4781237859464439,0.03130318498997985
2026_Jan_Mar,market_probability,50-60%,ALL,9,5,4,0.5555555555555556,-0.3795481000107609,-0.04217201111230676,0.5577708812094186,0.5862938585325302,0.028522977323111456
2026_Jan_Mar,market_probability,60-70%,ALL,28,21,7,0.75,2.862508415959131,0.10223244342711182,0.6559627081054042,0.6915172933421257,0.03555458523672143
2026_Jan_Mar,market_probability,70-80%,ALL,24,20,4,0.8333333333333334,1.4410278451436476,0.06004282688098531,0.7494652267347117,0.7765723928296993,0.027107166094987496
2026_Jan_Mar,market_probability,80%+,ALL,13,13,0,1.0,1.7492273295824903,0.13455594842942234,0.8538244458983134,0.8739239836341854,0.020099537735871954
2026_Jan_Mar,market_x_edge,<30%,0-2%,7,1,6,0.14285714285714285,-3.8,-0.5428571428571428,0.24952421341817407,0.2587165090193002,0.009192295601126058
2026_Jan_Mar,market_x_edge,<30%,2-4%,5,1,4,0.2,-0.7999999999999998,-0.15999999999999998,0.21841697659742,0.24682221023141046,0.028405233633990383
2026_Jan_Mar,market_x_edge,<30%,4-6%,1,0,1,0.0,-1.0,-1.0,0.186536901865369,0.2377478120726588,0.0512109102072898
2026_Jan_Mar,market_x_edge,<30%,6-7.5%,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,<30%,7.5%+,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,30-40%,0-2%,5,3,2,0.6,3.4899999999999993,0.6979999999999998,0.33689391523288226,0.35107486663851634,0.014180951405634041
2026_Jan_Mar,market_x_edge,30-40%,2-4%,2,1,1,0.5,0.54,0.27,0.3876386379138126,0.42060718490811366,0.0329685469943011
2026_Jan_Mar,market_x_edge,30-40%,4-6%,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,30-40%,6-7.5%,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,30-40%,7.5%+,1,0,1,0.0,-1.0,-1.0,0.3386960203217612,0.4296763677143714,0.0909803473926101
2026_Jan_Mar,market_x_edge,40-50%,0-2%,7,2,5,0.2857142857142857,-2.6799999999999997,-0.38285714285714284,0.4466273930695165,0.45803078256909374,0.011403389499577143
2026_Jan_Mar,market_x_edge,40-50%,2-4%,6,2,4,0.3333333333333333,-1.88,-0.3133333333333333,0.45138466763292756,0.4817136861903417,0.030329018557414114
2026_Jan_Mar,market_x_edge,40-50%,4-6%,4,1,3,0.25,-1.98,-0.495,0.44064657803046064,0.4895531997115383,0.048906621681077594
2026_Jan_Mar,market_x_edge,40-50%,6-7.5%,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,40-50%,7.5%+,1,1,0,1.0,1.16,1.16,0.4454847478103291,0.5515177530641315,0.1060330052538023
2026_Jan_Mar,market_x_edge,50-60%,0-2%,4,2,2,0.5,-0.49776029717032666,-0.12444007429258166,0.5565245634894105,0.5683495473017052,0.011824983812294623
2026_Jan_Mar,market_x_edge,50-60%,2-4%,2,0,2,0.0,-2.0,-1.0,0.5555822556481058,0.5869169225589568,0.03133466691085085
2026_Jan_Mar,market_x_edge,50-60%,4-6%,3,3,0,1.0,2.1182121971595658,0.706070732386522,0.5608917218769717,0.6098042308226793,0.04891250894570764
2026_Jan_Mar,market_x_edge,50-60%,6-7.5%,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,50-60%,7.5%+,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,60-70%,0-2%,10,8,2,0.8,1.6585334084213508,0.16585334084213507,0.6596119570762032,0.6679136868924519,0.00830172981624859
2026_Jan_Mar,market_x_edge,60-70%,2-4%,11,8,3,0.7272727272727273,0.7064808306227655,0.06422553005661504,0.6633984906306428,0.6936102266649601,0.030211736034317118
2026_Jan_Mar,market_x_edge,60-70%,4-6%,4,3,1,0.75,0.37846441947565534,0.09461610486891384,0.6580596834135696,0.7092378420546599,0.051178158641090224
2026_Jan_Mar,market_x_edge,60-70%,6-7.5%,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,60-70%,7.5%+,3,2,1,0.6666666666666666,0.11902975743935973,0.03967658581311991,0.6137380418659796,0.7388944943739345,0.12515645250795487
2026_Jan_Mar,market_x_edge,70-80%,0-2%,6,5,1,0.8333333333333334,0.30746292714377804,0.051243821190629674,0.7604970108171488,0.7679657971311097,0.007468786313960933
2026_Jan_Mar,market_x_edge,70-80%,2-4%,13,11,2,0.8461538461538461,0.9777545879297898,0.0752118913792146,0.7476492861493189,0.7767829479024765,0.029133661753157476
2026_Jan_Mar,market_x_edge,70-80%,4-6%,5,4,1,0.8,0.15581033007007972,0.031162066014015943,0.740948531357809,0.7863528644787866,0.04540433312097743
2026_Jan_Mar,market_x_edge,70-80%,6-7.5%,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,70-80%,7.5%+,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,80%+,0-2%,5,5,0,1.0,0.7853023656575264,0.15706047313150528,0.8485969418907027,0.8563513552950226,0.00775441340431988
2026_Jan_Mar,market_x_edge,80%+,2-4%,8,8,0,1.0,0.9639249639249636,0.12049062049062045,0.8570916359030701,0.8849068763461623,0.027815240443092
2026_Jan_Mar,market_x_edge,80%+,4-6%,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,80%+,6-7.5%,0,0,0,,0.0,,,,
2026_Jan_Mar,market_x_edge,80%+,7.5%+,0,0,0,,0.0,,,,
