logit_threshold,price_edge_threshold,bets,fight_coverage,hit_rate,mean_model_p,mean_raw_p,calibration_gap,mean_price_edge,mean_signed_logit_residual,mean_model_implied_ev_margin,cards,bets_per_card,selection_score
0.3,0.01,390,0.243142144638404,0.2743589743589744,0.29784131355774707,0.27263220193280824,-0.023482339198772684,0.025209111624938843,0.40683080035959823,0.10740193934602299,157,2.484076433121019,"(0, 0.036541612626149744, 0.023482339198772684, 2.484076433121019, -390)"
0.3,0.02,208,0.12967581047381546,0.28365384615384615,0.31992487881619197,0.2855117552233431,-0.036271032662345826,0.034413123592848795,0.4463901229574502,0.13952037120725402,121,1.71900826446281,"(0, 0.08396420145736022, 0.036271032662345826, 1.71900826446281, -208)"
0.3,0.03,97,0.060473815461346635,0.26804123711340205,0.3379419543540355,0.291743393188554,-0.06990071724063346,0.046198561165481454,0.49863737112131234,0.18093462948235908,73,1.3287671232876712,"(1, 0.15247280776500702, 0.06990071724063346, 1.3287671232876712, -97)"
0.3,0.05,32,0.0199501246882793,0.34375,0.3622143166139722,0.2977913817250538,-0.018464316613972187,0.06442293488891836,0.5599069654099205,0.2378804018678651,28,1.1428571428571428,"(1, 0.156119205057621, 0.018464316613972187, 1.1428571428571428, -32)"
0.3,0.075,5,0.003117206982543641,0.0,0.3493227928876877,0.2632287472656055,-0.3493227928876877,0.08609404562208214,0.632250670446527,0.35145891696214665,5,1.0,"(1, 0.3493227928876877, 0.3493227928876877, 1.0, -5)"
0.3,0.1,0,0.0,,,,,,,,0,,"(1, nan, nan, nan, 0)"
0.35,0.0,318,0.19825436408977556,0.279874213836478,0.32198294381019454,0.295535309473845,-0.04210872997371656,0.026447634336349498,0.42912210115517474,0.11002417482925268,145,2.193103448275862,"(0, 0.09042782244228181, 0.04210872997371656, 2.193103448275862, -318)"
0.35,0.01,290,0.18079800498753118,0.2793103448275862,0.3127181665907646,0.2843037303443573,-0.033407821763178414,0.02841443624640723,0.43336395579210646,0.11866661962178945,143,2.027972027972028,"(0, 0.07183398338074379, 0.033407821763178414, 2.027972027972028, -290)"
0.35,0.02,188,0.1172069825436409,0.2872340425531915,0.3242003058499478,0.288880069073872,-0.036966263296756285,0.03532023677607581,0.45852041985585795,0.14276091112006553,117,1.606837606837607,"(0, 0.08419547792066606, 0.036966263296756285, 1.606837606837607, -188)"
0.35,0.03,96,0.059850374064837904,0.2604166666666667,0.3392650925088674,0.29317982276503735,-0.0788484258422007,0.04608526974383002,0.5006425651623752,0.17895494338648651,73,1.3150684931506849,"(1, 0.19170414594312507, 0.0788484258422007, 1.3150684931506849, -96)"
0.35,0.05,31,0.019326683291770574,0.3225806451612903,0.36709475613409476,0.30243477617276027,-0.044514110972804444,0.06465997996133445,0.5680930370947801,0.23358672145437281,27,1.1481481481481481,"(1, 0.20115128904581073, 0.044514110972804444, 1.1481481481481481, -31)"
0.35,0.075,5,0.003117206982543641,0.0,0.3493227928876877,0.2632287472656055,-0.3493227928876877,0.08609404562208214,0.632250670446527,0.35145891696214665,5,1.0,"(1, 0.3493227928876877, 0.3493227928876877, 1.0, -5)"
0.35,0.1,0,0.0,,,,,,,,0,,"(1, nan, nan, nan, 0)"
0.4,0.0,184,0.11471321695760599,0.266304347826087,0.3432459560344401,0.31046367464421265,-0.07694160820835311,0.032782281390227375,0.46945650589517585,0.13380913127993566,113,1.6283185840707965,"(0, 0.12368263229727744, 0.07694160820835311, 1.6283185840707965, -184)"
0.4,0.01,174,0.1084788029925187,0.27011494252873564,0.33564580869914473,0.3012920076107599,-0.0655308661704091,0.03435380108838479,0.47256089255896905,0.14084484190828991,112,1.5535714285714286,"(0, 0.11043196997859264, 0.0655308661704091, 1.5535714285714286, -174)"
0.4,0.02,144,0.08977556109725686,0.2708333333333333,0.3330709947687056,0.29493968774691953,-0.06223766143537229,0.0381313070217861,0.48326260243687774,0.15379910389872503,103,1.3980582524271845,"(0, 0.11913509796495023, 0.06223766143537229, 1.3980582524271845, -144)"
0.4,0.03,89,0.05548628428927681,0.24719101123595505,0.33920678220103295,0.29292622221807035,-0.0920157709650779,0.04628055998296255,0.510442907301097,0.18116495241839842,70,1.2714285714285714,"(1, 0.19170414594312507, 0.0920157709650779, 1.2714285714285714, -89)"
0.4,0.05,30,0.018703241895261846,0.3333333333333333,0.3665976881980896,0.30299212585470947,-0.03326435486475626,0.06360556234338018,0.5745728523414569,0.23013881951118959,26,1.1538461538461537,"(1, 0.20115128904581073, 0.03326435486475626, 1.1538461538461537, -30)"
0.4,0.075,4,0.0024937655860349127,0.0,0.34115179255604744,0.25760736265343553,-0.34115179255604744,0.08354442990261193,0.6968886931345397,0.3550677012652158,4,1.0,"(1, 0.34115179255604744, 0.34115179255604744, 1.0, -4)"
0.4,0.1,0,0.0,,,,,,,,0,,"(1, nan, nan, nan, 0)"
0.5,0.0,46,0.028678304239401497,0.30434782608695654,0.35488411298264627,0.30241986829713474,-0.05053628689568973,0.05246424468551155,0.5731426000459868,0.2144313030723657,41,1.1219512195121952,"(1, 0.23986458033323288, 0.05053628689568973, 1.1219512195121952, -46)"
0.5,0.01,46,0.028678304239401497,0.30434782608695654,0.35488411298264627,0.30241986829713474,-0.05053628689568973,0.05246424468551155,0.5731426000459868,0.2144313030723657,41,1.1219512195121952,"(1, 0.23986458033323288, 0.05053628689568973, 1.1219512195121952, -46)"
0.5,0.02,46,0.028678304239401497,0.30434782608695654,0.35488411298264627,0.30241986829713474,-0.05053628689568973,0.05246424468551155,0.5731426000459868,0.2144313030723657,41,1.1219512195121952,"(1, 0.23986458033323288, 0.05053628689568973, 1.1219512195121952, -46)"
0.5,0.03,43,0.02680798004987531,0.27906976744186046,0.3495650812983513,0.29509515626618543,-0.07049531385649083,0.05446992503216582,0.57443634041608,0.22019190267550987,38,1.131578947368421,"(1, 0.23986458033323288, 0.07049531385649083, 1.131578947368421, -43)"
