fight_id,date,year,market_p,v5_p,cal_p,bucket,k_applied,y
4b67a1875390e7ad,2022-02-05,2022,0.3181818181818181,0.3552402188957981,0.31818181818317737,30-40%,3.773039301454846e-11,0
6b4c2cc27855506a,2022-02-05,2022,0.7054263565891473,0.7350539989153398,0.740531331273905,70-80%,1.1924233736031942,1
ace166f26c2ac2e8,2022-02-05,2022,0.6301020408163266,0.5562144484902157,0.4964351771425625,60-70%,1.7823958156633684,0
18a1617ee7356352,2022-02-12,2022,0.5962732919254659,0.5983592231611101,0.6002773556297085,50-60%,1.921064148669502,1
19e742ccaa09cf08,2022-02-12,2022,0.2650822669104204,0.2701788404465264,0.2701788404465264,<30%,1.0,0
238832b58a66ae07,2022-02-12,2022,0.4201680672268907,0.4442999492294593,0.46869747811485124,40-50%,1.9999999697914885,0
3bebd99d5f94bec7,2022-02-12,2022,0.6957699520733487,0.6725425090157264,0.6537531172753147,60-70%,1.7823958156633684,1
6708f3a32861038a,2022-02-12,2022,0.4037267080745341,0.4344223614796539,0.4656293544291364,40-50%,1.9999999697914885,0
81c22cfa22002ea4,2022-02-12,2022,0.4902470741222366,0.5162278115781722,0.5421211210273494,40-50%,1.9999999697914885,1
821bef3a3394dd96,2022-02-12,2022,0.3492957746478873,0.3060205024234668,0.3492957746462008,30-40%,3.773039301454846e-11,1
a0ba726da4a50458,2022-02-12,2022,0.7775930160049885,0.7867046498101209,0.7884263803698859,70-80%,1.1924233736031942,1
b1e048825b5bbe1c,2022-02-12,2022,0.2578796561604584,0.2409865403132345,0.24098654031323447,<30%,1.0,0
bb42336d6417914c,2022-02-12,2022,0.6040343668285393,0.6369120822943509,0.6617883665723974,60-70%,1.7823958156633684,0
c16bda7548181613,2022-02-12,2022,0.5,0.4978748329366864,0.4959174838877415,50-60%,1.921064148669502,0
ca8f73d038c4d6e7,2022-02-12,2022,0.7228793511321393,0.7273246926867878,0.7281749483747676,70-80%,1.1924233736031942,1
04e2d50c24a88dbd,2022-02-19,2022,0.5882115462252725,0.6437903934398306,0.6918023567716429,50-60%,1.921064148669502,1
25da52bc590ef664,2022-02-19,2022,0.3634123806590699,0.2963546713709263,0.36341238065641523,30-40%,3.773039301454846e-11,0
2d8db91f91f68069,2022-02-19,2022,0.6507042253521127,0.6494051924108263,0.6483872868073779,60-70%,1.7823958156633684,1
33cc40fc1da409d3,2022-02-19,2022,0.5324675324675325,0.516965776529012,0.5026580185921566,50-60%,1.921064148669502,0
528c208293bdef13,2022-02-19,2022,0.7421203438395415,0.7273736525241887,0.7244763191626834,70-80%,1.1924233736031942,1
8cd583f6d10692bc,2022-02-19,2022,0.7421203438395415,0.7037863565759107,0.6960420787328516,70-80%,1.1924233736031942,1
93026443e5140415,2022-02-19,2022,0.7054263565891473,0.6808301377506373,0.6759736167328784,70-80%,1.1924233736031942,1
958799d957945a3a,2022-02-19,2022,0.3884892086330935,0.3644365291899057,0.38848920863217484,30-40%,3.773039301454846e-11,1
99fd8396cbe1df03,2022-02-19,2022,0.7349177330895795,0.7802274906630207,0.7882775298516137,70-80%,1.1924233736031942,1
e36a5d4d53b97d4e,2022-02-19,2022,0.6040343668285393,0.6098239388014285,0.6143322883668505,60-70%,1.7823958156633684,0
ea63f56779100678,2022-02-19,2022,0.6755725190839694,0.6501316904499951,0.6296040595282277,60-70%,1.7823958156633684,1
