market_key,is_synthetic,year,n,mean_implied_p,realized_win_rate,calibration_error,brier,log_loss,flat_bet_roi
moneyline,False,2013,712.0,0.5099095002959909,0.5,-0.009909500295990914,0.19891235729916398,0.5818643498509422,-0.06074022334760279
moneyline,False,2014,922.0,0.5100504512444597,0.5,-0.01005045124445969,0.20728481212901959,0.6017936194683121,-0.021171987818362284
moneyline,False,2015,864.0,0.5165678992431955,0.5,-0.01656789924319546,0.2225025772961935,0.6325154281452444,-0.013554696001763143
moneyline,False,2016,896.0,0.5186218819281907,0.5,-0.018621881928190698,0.21984151264433782,0.628982186310384,-0.04426199117887198
moneyline,False,2017,812.0,0.5183832941634117,0.5,-0.018383294163411668,0.212078123951955,0.6128073021360712,-0.051687079552634366
moneyline,False,2018,876.0,0.5185652997849152,0.5,-0.018565299784915168,0.20775519183551755,0.6001864839061144,-0.0725671995532483
moneyline,False,2019,916.0,0.5185123529291541,0.5,-0.018512352929154097,0.2208674728156854,0.6308050211033551,-0.04189094999810039
moneyline,False,2020,832.0,0.5227301330446299,0.5,-0.022730133044629897,0.2168428712943498,0.6238885899561359,-0.05467998023780657
moneyline,False,2021,942.0,0.5214264590525145,0.5,-0.0214264590525145,0.220857446793774,0.6311318200004483,-0.0532611739620776
moneyline,False,2022,961.0,0.5206746350396114,0.5015608740894901,-0.019113760950121295,0.20802585493349143,0.6025548710699508,-0.06488175127797889
moneyline,False,2023,840.0,0.5211183237318102,0.4976190476190476,-0.02349927611276259,0.20132169792112314,0.5884351620775625,-0.08871361977275567
moneyline,False,2024,767.0,0.5233912169188697,0.5019556714471969,-0.021435545471672812,0.2024416672269787,0.5909338879473183,-0.0663061050612912
moneyline,False,2025,787.0,0.5204395503120386,0.49809402795425667,-0.022345522357781922,0.20197951939724473,0.5879461172216347,-0.06611422214676103
moneyline,False,2026,227.0,0.5210588989145811,0.5022026431718062,-0.01885625574277494,0.17250277220518812,0.520048141461864,-0.136841729561712
win_by_decision,False,2012,332.0,0.2484569244627625,0.23795180722891565,-0.010505117233846839,0.16480524603091898,0.5044180768549287,-0.07085868950326779
win_by_decision,False,2013,679.0,0.2610947838961648,0.23858615611192932,-0.022508627784235485,0.16822194594034454,0.5115348218828488,-0.1256152668151933
