mechanic,fold,scenario,reach_term,threshold_inches,train_rows,valid_rows,base_score,reach_score,delta,beta
td_completion,2020,clip6,reach_clip6,6.0,4537,516,0.6561657546816939,0.6556608640192023,-0.0005048906624915972,0.0046426549819855
td_completion,2020,trim_abs4,reach_edge,4.0,1728,196,0.6547081898272467,0.653935622774459,-0.0007725670527876094,0.009247953826736861
td_completion,2020,trim_abs6,reach_edge,6.0,2647,297,0.6544055008240185,0.6543353019459461,-7.019887807235836e-05,0.0006330785117366479
td_completion,2020,trim_train_p95,reach_edge,15.240000000000009,4314,490,0.6575058261123596,0.6569937861609183,-0.0005120399514413343,0.0027313953135335777
td_completion,2021,full_linear,reach_edge,,5053,609,0.6410103803645492,0.6410966919859538,8.631162140460003e-05,0.005093797533359889
td_completion,2021,clip4,reach_clip4,4.0,5053,609,0.6410103803645492,0.6413233117290379,0.00031293136448873327,0.010821307664043227
td_completion,2021,clip6,reach_clip6,6.0,5053,609,0.6410103803645492,0.6413013556610714,0.0002909752965222223,0.0077232941678891396
td_completion,2021,trim_abs4,reach_edge,4.0,1924,207,0.6392050834869404,0.639306030487557,0.00010094700061658024,0.01810954721505198
td_completion,2021,trim_abs6,reach_edge,6.0,2944,362,0.646184168202899,0.6463812001196036,0.00019703191670461528,0.005151049805359381
td_completion,2021,trim_train_p95,reach_edge,15.240000000000009,4804,587,0.6412329430909444,0.6414583017000248,0.00022535860908046157,0.005051006088691769
td_completion,2022,full_linear,reach_edge,,5662,611,0.6532316666260832,0.6527754413122971,-0.000456225313786085,0.004601550061841013
td_completion,2022,clip4,reach_clip4,4.0,5662,611,0.6532316666260832,0.653035630925788,-0.00019603570029524953,0.008445705601887841
td_completion,2022,clip6,reach_clip6,6.0,5662,611,0.6532316666260832,0.6529718991877836,-0.00025976743829958515,0.006027630601461408
td_completion,2022,trim_abs4,reach_edge,4.0,2131,218,0.6558885952272603,0.6566159890684582,0.0007273938411979097,0.016866673922925637
td_completion,2022,trim_abs6,reach_edge,6.0,3306,361,0.6423857858679083,0.6424086975486851,2.291168077683814e-05,0.003128718143927128
td_completion,2022,trim_train_p95,reach_edge,15.240000000000009,5391,584,0.6519330265720285,0.651471420170183,-0.0004616064018454491,0.0041171207657270305
td_completion,2023,full_linear,reach_edge,,6273,568,0.6388503154760287,0.6386116239583508,-0.00023869151767785812,0.005468712626866325
td_completion,2023,clip4,reach_clip4,4.0,6273,568,0.6388503154760287,0.6387354227623768,-0.0001148927136518374,0.00925291836637715
td_completion,2023,clip6,reach_clip6,6.0,6273,568,0.6388503154760287,0.638650573824775,-0.00019974165125369314,0.006995583120268138
td_completion,2023,trim_abs4,reach_edge,4.0,2349,204,0.6259313310000537,0.6260404746390411,0.00010914363898739676,0.01141681492323515
td_completion,2023,trim_abs6,reach_edge,6.0,3667,308,0.6444513463428547,0.6446481334913804,0.0001967871485256678,0.0025868217882713267
td_completion,2023,trim_train_p95,reach_edge,15.240000000000009,5975,539,0.6389187711245228,0.6385479995341513,-0.0003707715903714659,0.005365682626936463
