market_type,card,date,fight_id,fighter,market_key,odds,market_fair_p,model_p,edge,won,min_prior_fights,cold_start,cold_start_fighters,fighter_prior_fights,eligible,eligibility_reason
method,Vegas 119,2026-06-20,8b809ba1880aded0,Michael Aswell Jr.,win_by_ko_tko_dq,190.0,0.298806086208177,0.3202119767665863,0.0214058905584092,0,3.0,False,,Michael Aswell Jr.:3 | Gaston Bolanos:4,True,eligible
method,Vegas 119,2026-06-20,afc021700481ac4e,Navajo Stirling,win_by_ko_tko_dq,105.0,0.4084714812553079,0.5444040298461914,0.1359325485908835,1,19.0,False,,Ion Cutelaba:19,True,eligible
method,Baku,2026-06-27,012c307c9d446c4d,Michel Pereira,win_by_decision,800.0,0.0925192276084085,0.1335259079933166,0.041006680384908,0,6.0,False,,Shara Magomedov:6 | Michel Pereira:15,True,eligible
method,Baku,2026-06-27,809814f03ff3140c,Matheus Camilo,win_by_decision,475.0,0.1455599920598808,0.2181067019701004,0.0725467099102196,0,2.0,False,,Matheus Camilo:2 | Nazim Sadykhov:5,True,eligible
method,Baku,2026-06-27,809814f03ff3140c,Nazim Sadykhov,win_by_decision,265.0,0.2293068368066615,0.2583194971084595,0.0290126603017979,0,2.0,False,,Matheus Camilo:2 | Nazim Sadykhov:5,True,eligible
method,Baku,2026-06-27,c13dc0cccef263f7,Manuel Torres,win_by_decision,1250.0,0.0629211065097474,0.0913183987140655,0.028397292204318,0,6.0,False,,Manuel Torres:6 | Rafael Fiziev:12,True,eligible
method,UFC 329,2026-07-11,130b325610c54a64,Benoit Saint Denis,win_by_decision,500.0,0.1292480115690527,0.1597483158111572,0.0305003042421044,0,8.0,False,,Paddy Pimblett:8 | Benoit Saint Denis:12,True,eligible
method,UFC 329,2026-07-11,130b325610c54a64,Paddy Pimblett,win_by_ko_tko_dq,650.0,0.1033984092552422,0.1380849927663803,0.034686583511138,0,8.0,False,,Paddy Pimblett:8 | Benoit Saint Denis:12,True,eligible
method,UFC 329,2026-07-11,7765e5e779dd7dc9,Nikita Krylov,win_by_ko_tko_dq,300.0,0.1943009304757982,0.264590322971344,0.0702893924955457,0,21.0,False,,Nikita Krylov:21 | Robert Whittaker:24,True,eligible
method,UFC 329,2026-07-11,7765e5e779dd7dc9,Robert Whittaker,win_by_ko_tko_dq,190.0,0.2680012834148942,0.3041706085205078,0.0361693251056136,1,21.0,False,,Nikita Krylov:21 | Robert Whittaker:24,True,eligible
