card,date,fight_id,fighter,american_odds,fair_market_p,model_p,prob_edge,logit_residual,won,pnl_units,cum_profit_units
Oklahoma City,2026-07-18,c64c6ba6eb1e1d06,Alberto Montes,145.0,0.3907637655417407,0.4462548792362213,0.05549111369448062,0.22828865765160697,0,-1.0,-0.14919399406376066
Oklahoma City,2026-07-18,f2abca7379982d4f,Chase Hooper,-375.0,0.7571884984025559,0.8328332304954529,0.07564473209289702,0.4685146838723693,1,0.26666666666666666,0.117472672602906
Oklahoma City,2026-07-18,f2eb569176e46edf,Jean-Paul Lebosnoyani,150.0,0.3835616438356164,0.4458322823047638,0.06227063846914738,0.25693343179412187,1,1.5,1.617472672602906
Abu Dhabi,2026-07-25,532340708f0500bd,Abdul Hussein,-650.0,0.8328690807799444,0.8681812882423401,0.03531220746239572,0.2788739562674478,1,0.15384615384615385,1.7713188264490598
Abu Dhabi,2026-07-25,61280e5644189c61,Saygid Izagakhmaev,185.0,0.3363518758085381,0.4142692387104034,0.0779173629018653,0.3332500793811498,0,-1.0,0.7713188264490598
Abu Dhabi,2026-07-25,9009ec7b91f2be14,Magomed Ankalaev,-535.0,0.8081570996978852,0.8382949233055115,0.03013782360762629,0.20751615339725404,1,0.18691588785046728,0.9582347142995271
Abu Dhabi,2026-07-25,f6e6b004f07363e9,Sam Patterson,-485.0,0.7957758771164253,0.8326351046562195,0.036859227539794204,0.2443195133111733,1,0.20618556701030927,1.1644202813098363
Belgrade,2026-08-01,0c3c835e681972d3,Navajo Stirling,-355.0,0.7502401536983669,0.7870509028434753,0.0368107491451084,0.20734625043617982,1,0.28169014084507044,1.4461104221549068
Belgrade,2026-08-01,68ae50dbf98dc15f,Uros Medic,-400.0,0.7685185185185185,0.8314201831817627,0.0629016646632442,0.39576119178171276,1,0.25,1.6961104221549068
Belgrade,2026-08-01,94cef172179c9778,Jovan Leka,-290.0,0.7135512302607419,0.7798566818237305,0.06630545156298862,0.352136851346586,1,0.3448275862068966,2.0409380083618034
Belgrade,2026-08-01,eb8753ed0476b3d1,Aleksandar Rakic,-390.0,0.765438008616563,0.8155229687690735,0.050084960152510516,0.30357630143707826,1,0.2564102564102564,2.29734826477206
Belgrade,2026-08-01,f1bce0c9a3fa4bcb,Michael Oliveira,-450.0,0.7864077669902912,0.8607926964759827,0.07438492948569142,0.518482789111363,1,0.2222222222222222,2.519570486994282
Belgrade,2026-08-01,f78f34ef2ee7b02c,Nina Milosevic,-590.0,0.819229761592874,0.8577122688293457,0.03848250723647173,0.2852796490409728,1,0.1694915254237288,2.689062012418011
