market_type,threshold,card,date,bets,wins,losses,flat_start_bankroll,flat_risk,flat_profit,flat_end_bankroll,flat_card_roi,kelly_start_bankroll,kelly_risk,kelly_profit,kelly_end_bankroll,kelly_card_roi
moneyline,0.1,Oklahoma City,2026-07-18,0,0,0,527.9285714285714,0.0,0.0,527.9285714285714,,575.124058246508,0.0,0.0,575.124058246508,
moneyline,0.1,Abu Dhabi,2026-07-25,0,0,0,527.9285714285714,0.0,0.0,527.9285714285714,,575.124058246508,0.0,0.0,575.124058246508,
moneyline,0.1,Belgrade,2026-08-01,0,0,0,527.9285714285714,0.0,0.0,527.9285714285714,,575.124058246508,0.0,0.0,575.124058246508,
method,0.02,Freedom 250,2026-06-14,11,4,7,500.0,110.0,36.09090909090909,536.0909090909091,0.32809917355371904,500.0,37.268906569473046,35.931952789788255,535.9319527897883,0.9641268311107392
method,0.02,Vegas 119,2026-06-20,5,3,2,536.0909090909091,50.0,86.5,622.5909090909091,1.73,535.9319527897883,27.586033056385226,52.20625616678693,588.1382089565752,1.8924887119535645
method,0.02,Baku,2026-06-27,4,0,4,622.5909090909091,40.0,-40.0,582.5909090909091,-1.0,588.1382089565752,14.312064493198138,-14.312064493198138,573.8261444633771,-1.0
method,0.02,UFC 329,2026-07-11,11,4,7,582.5909090909091,110.0,15.5,598.0909090909091,0.1409090909090909,573.8261444633771,19.546296066012694,-9.481418359134079,564.344726104243,-0.485074938347039
method,0.02,Oklahoma City,2026-07-18,8,4,4,598.0909090909091,80.0,50.81395348837209,648.9048625792813,0.6351744186046512,564.344726104243,20.959980105679104,-4.275268225003268,560.0694578792397,-0.20397291426077663
method,0.02,Abu Dhabi,2026-07-25,6,0,6,648.9048625792813,60.0,-60.0,588.9048625792813,-1.0,560.0694578792397,19.475716687302913,-19.475716687302913,540.5937411919368,-1.0
method,0.02,Belgrade,2026-08-01,14,3,11,588.9048625792813,140.0,-37.0,551.9048625792813,-0.2642857142857143,540.5937411919368,62.786090295216354,-13.869250527960524,526.7244906639763,-0.2208968652570682
method,0.03,Freedom 250,2026-06-14,5,3,2,500.0,50.0,36.09090909090909,536.0909090909091,0.7218181818181819,500.0,37.268906569473046,35.931952789788255,535.9319527897883,0.9641268311107392
method,0.03,Vegas 119,2026-06-20,4,3,1,536.0909090909091,40.0,96.5,632.5909090909091,2.4125,535.9319527897883,27.586033056385226,52.20625616678693,588.1382089565752,1.8924887119535645
method,0.03,Baku,2026-06-27,2,0,2,632.5909090909091,20.0,-20.0,612.5909090909091,-1.0,588.1382089565752,11.573712016921958,-11.573712016921958,576.5644969396533,-1.0
method,0.03,UFC 329,2026-07-11,8,3,5,612.5909090909091,80.0,5.5,618.0909090909091,0.06875,576.5644969396533,19.63957283416073,-9.5266645816927,567.0378323579606,-0.4850749383470391
method,0.03,Oklahoma City,2026-07-18,7,3,4,618.0909090909091,70.0,33.31395348837209,651.4048625792813,0.47591362126245845,567.0378323579606,21.06000310738245,-4.295670208153812,562.7421621498067,-0.20397291426077674
method,0.03,Abu Dhabi,2026-07-25,5,0,5,651.4048625792813,50.0,-50.0,601.4048625792813,-1.0,562.7421621498067,19.56865664399973,-19.56865664399973,543.173505505807,-1.0
