threshold,card,date,bets,wins,losses,flat_start_bankroll,flat_risk,flat_profit,flat_end_bankroll,flat_card_roi,kelly_start_bankroll,kelly_risk,kelly_profit,kelly_end_bankroll,kelly_card_roi
0.05,UFC 329,2026-07-11,2,0,2,582.5909090909091,20.0,-20.0,562.5909090909091,-1.0,568.8727125844066,12.157176715407353,-12.157176715407353,556.7155358689993,-1.0
0.05,Oklahoma City,2026-07-18,3,2,1,562.5909090909091,30.0,22.313953488372093,584.9048625792813,0.743798449612403,556.7155358689993,9.588014326632063,2.672649882552639,559.3881857515519,0.2787490497515191
0.05,Abu Dhabi,2026-07-25,2,0,2,584.9048625792813,20.0,-20.0,564.9048625792813,-1.0,559.3881857515519,7.60655433913367,-7.60655433913367,551.7816314124182,-1.0
0.05,Belgrade,2026-08-01,3,1,2,564.9048625792813,30.0,4.0,568.9048625792813,0.13333333333333333,551.7816314124182,35.0018615946141,3.0172225735956495,554.7988539860138,0.08620177430962483
0.075,Freedom 250,2026-06-14,2,2,0,500.0,20.0,29.59090909090909,529.5909090909091,1.4795454545454545,500.0,26.50622422011886,37.911536646160194,537.9115366461602,1.4302880837092002
0.075,Vegas 119,2026-06-20,1,1,0,529.5909090909091,10.0,10.5,540.0909090909091,1.05,537.9115366461602,14.860223873390462,15.603235067059986,553.5147717132203,1.05
0.075,Baku,2026-06-27,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
0.075,UFC 329,2026-07-11,1,0,1,540.0909090909091,10.0,-10.0,530.0909090909091,-1.0,553.5147717132203,9.136981185585851,-9.136981185585851,544.3777905276345,-1.0
0.075,Oklahoma City,2026-07-18,1,1,0,530.0909090909091,10.0,5.813953488372094,535.9048625792813,0.5813953488372093,544.3777905276345,0.0,0.0,544.3777905276345,
0.075,Abu Dhabi,2026-07-25,0,0,0,535.9048625792813,0.0,0.0,535.9048625792813,,544.3777905276345,0.0,0.0,544.3777905276345,
0.075,Belgrade,2026-08-01,2,1,1,535.9048625792813,20.0,14.0,549.9048625792813,0.7,544.3777905276345,28.02073036772151,9.488211320670473,553.8660018483049,0.3386139902905751
0.1,Freedom 250,2026-06-14,2,2,0,500.0,20.0,29.59090909090909,529.5909090909091,1.4795454545454545,500.0,26.50622422011886,37.911536646160194,537.9115366461602,1.4302880837092002
0.1,Vegas 119,2026-06-20,1,1,0,529.5909090909091,10.0,10.5,540.0909090909091,1.05,537.9115366461602,14.860223873390462,15.603235067059986,553.5147717132203,1.05
0.1,Baku,2026-06-27,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
0.1,UFC 329,2026-07-11,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
0.1,Oklahoma City,2026-07-18,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
0.1,Abu Dhabi,2026-07-25,0,0,0,540.0909090909091,0.0,0.0,540.0909090909091,,553.5147717132203,0.0,0.0,553.5147717132203,
0.1,Belgrade,2026-08-01,1,0,1,540.0909090909091,10.0,-10.0,530.0909090909091,-1.0,553.5147717132203,17.27383135050425,-17.27383135050425,536.2409403627161,-1.0
