fold,feature,bin,n,value_min,value_median,value_max,mean_signed_shap,mean_abs_shap,empirical_win_rate
2021,diff_hist_d730_total_str_landed_per15_mean,6,72,0.04289142534484114,6.941284444440331,11.854376058045915,-0.030735152919078246,0.03075974558467149,0.4305555555555556
2021,diff_hist_d730_total_str_landed_per15_mean,7,72,12.091124260355038,15.817746227677226,21.43791236712785,-0.035874873865395784,0.035874873865395784,0.4861111111111111
2021,diff_hist_d730_total_str_landed_per15_mean,8,72,21.599999999999994,27.36002113286998,34.800000000000004,-0.035126910674282245,0.035126910674282245,0.625
2021,diff_hist_d730_total_str_landed_per15_mean,9,72,34.85330362821175,42.58192847196316,56.737250151539435,-0.033396689117782645,0.033396689117782645,0.4861111111111111
2021,diff_hist_d730_total_str_landed_per15_mean,10,73,57.06127989657402,80.78737373737373,565.0162320969519,-0.0337283137981614,0.0337283137981614,0.5205479452054794
2021,diff_hist_career_td_attempted_per15_mean,1,77,-75.6964628818687,-5.8310742233871045,-3.795837129399715,-0.03217633375777053,0.03217633375777053,0.4025974025974026
2021,diff_hist_career_td_attempted_per15_mean,2,77,-3.771435428501504,-2.8903222724439748,-2.2756740144076955,-0.033078128072832315,0.033078128072832315,0.45454545454545453
2021,diff_hist_career_td_attempted_per15_mean,3,79,-2.2755503499153105,-1.7000000000000002,-1.2,-0.033975495803582514,0.033975495803582514,0.5443037974683544
2021,diff_hist_career_td_attempted_per15_mean,4,75,-1.1964171068577298,-0.8,-0.45554989075018215,-0.026494901378949484,0.026494901378949484,0.4
2021,diff_hist_career_td_attempted_per15_mean,5,86,-0.4510213478133758,-0.22031639270697478,0.0,-0.010624677407809771,0.011537543085788181,0.5
2021,diff_hist_career_td_attempted_per15_mean,6,68,0.01727286882341561,0.26566243833685693,0.4510213478133758,0.008531017662094468,0.009667424211168991,0.5
2021,diff_hist_career_td_attempted_per15_mean,7,78,0.45554989075018215,0.8056003601935604,1.2,0.021332317987122595,0.021332317987122595,0.6153846153846154
2021,diff_hist_career_td_attempted_per15_mean,8,76,1.2025477790353587,1.7177965871884329,2.2755503499153105,0.03273503352446776,0.03273503352446776,0.4342105263157895
2021,diff_hist_career_td_attempted_per15_mean,9,77,2.2756740144076955,2.8903222724439748,3.771435428501504,0.0376286217338079,0.0376286217338079,0.5454545454545454
2021,diff_hist_career_td_attempted_per15_mean,10,77,3.795837129399715,5.8310742233871045,75.6964628818687,0.03706165647448657,0.03706165647448657,0.5974025974025974
2021,diff_hist_career_td_landed_per15_mean,1,77,-39.60957880540904,-2.6586153250572604,-1.7999999999999998,-0.04919107154302009,0.04919107154302009,0.45454545454545453
2021,diff_hist_career_td_landed_per15_mean,2,77,-1.7963549841189783,-1.3722069199461298,-1.0992565592853372,-0.04628978455560161,0.04628978455560161,0.44155844155844154
2021,diff_hist_career_td_landed_per15_mean,3,77,-1.0879426220174937,-0.7686905027809998,-0.6,-0.011931785104143154,0.012123379668874014,0.42857142857142855
2021,diff_hist_career_td_landed_per15_mean,4,77,-0.5955699695178306,-0.4198914662058536,-0.246792450808839,-0.002727111361923857,0.005059208867953509,0.4935064935064935
2021,diff_hist_career_td_landed_per15_mean,5,97,-0.23314794215795326,-0.0476317933201443,0.0,-0.0021132826889125804,0.00459838893682187,0.5360824742268041
2021,diff_hist_career_td_landed_per15_mean,6,57,0.00014667005441071357,0.13224637681159424,0.23314794215795326,-0.0023144723621826096,0.005880816917756181,0.43859649122807015
2021,diff_hist_career_td_landed_per15_mean,7,77,0.246792450808839,0.4198914662058536,0.5955699695178306,-0.0035847559345994966,0.006062700465327588,0.5064935064935064
2021,diff_hist_career_td_landed_per15_mean,8,77,0.6,0.7686905027809998,1.0879426220174937,0.015891986930827526,0.016500285419925757,0.5714285714285714
2021,diff_hist_career_td_landed_per15_mean,9,77,1.0992565592853372,1.3722069199461298,1.7963549841189783,0.05485554305570466,0.05485554305570466,0.5584415584415584
2021,diff_hist_career_td_landed_per15_mean,10,77,1.7999999999999998,2.6586153250572604,39.60957880540904,0.05766020260460965,0.05766020260460965,0.5454545454545454
2021,diff_hist_career_distance_landed_per15_std,1,77,-120.42388541545299,-37.12980254728267,-25.343874421817027,-0.009627073080968353,0.009627073080968353,0.5714285714285714
2021,diff_hist_career_distance_landed_per15_std,2,77,-24.438019958915223,-19.039153291295218,-14.725591030458748,-0.009841712615029379,0.009841712615029379,0.5584415584415584
2021,diff_hist_career_distance_landed_per15_std,3,77,-14.627712412569482,-11.292319039216409,-8.447563145942377,-0.010843558236956596,0.010843558236956596,0.5064935064935064
2021,diff_hist_career_distance_landed_per15_std,4,77,-8.354712717387002,-6.05402222539405,-3.9160859841179123,-0.010727049952203577,0.010727049952203577,0.4155844155844156
2021,diff_hist_career_distance_landed_per15_std,5,87,-3.9053495624031314,-1.3590465282020094,0.0,-0.005517198824612745,0.007401978483305837,0.4942528735632184
2021,diff_hist_career_distance_landed_per15_std,6,67,0.014777408875129794,1.9461928605710939,3.9053495624031314,0.01642416235851819,0.016460288270835333,0.5074626865671642
2021,diff_hist_career_distance_landed_per15_std,7,77,3.9160859841179123,6.05402222539405,8.354712717387002,0.02090388380426478,0.02090388380426478,0.5844155844155844
2021,diff_hist_career_distance_landed_per15_std,8,77,8.447563145942377,11.292319039216409,14.627712412569482,0.020156169564209202,0.020156169564209202,0.4935064935064935
2021,diff_hist_career_distance_landed_per15_std,9,77,14.725591030458748,19.039153291295218,24.438019958915223,0.018967987969517708,0.018967987969517708,0.44155844155844154
2021,diff_hist_career_distance_landed_per15_std,10,77,25.343874421817027,37.12980254728267,120.42388541545299,0.020330909675882233,0.020330909675882233,0.42857142857142855
2021,diff_hist_d730_elapsed_seconds_mean,1,73,-2329.0,-1235.6666666666667,-890.5,-0.02512415282887547,0.02512415282887547,0.4657534246575342
2021,diff_hist_d730_elapsed_seconds_mean,2,72,-886.0,-720.0,-623.0,-0.025875233838127717,0.025875233838127717,0.4583333333333333
2021,diff_hist_d730_elapsed_seconds_mean,3,72,-621.0,-482.5625,-381.5,-0.026915420040798683,0.026915420040798683,0.5277777777777778
2021,diff_hist_d730_elapsed_seconds_mean,4,72,-381.0,-263.3666666666667,-136.5,-0.021084550667890452,0.021084550667890452,0.4305555555555556
2021,diff_hist_d730_elapsed_seconds_mean,5,97,-135.0,0.0,0.0,0.006222228718844732,0.006354774533262111,0.5463917525773195
2021,diff_hist_d730_elapsed_seconds_mean,6,47,0.5,47.5,135.0,0.007016184987460679,0.007016184987460679,0.40425531914893614
2021,diff_hist_d730_elapsed_seconds_mean,7,72,136.5,263.3666666666667,381.0,0.01655691836236252,0.01655691836236252,0.5694444444444444
2021,diff_hist_d730_elapsed_seconds_mean,8,72,381.5,482.5625,621.0,0.018937061773613095,0.018937061773613095,0.4722222222222222
2021,diff_hist_d730_elapsed_seconds_mean,9,72,623.0,720.0,886.0,0.018601671766696706,0.018601671766696706,0.5416666666666666
