feature,folds,mean_gain,mean_abs_shap,median_shap_rank,top100_folds
opp_hist_career_sub_att_per15_std,4,4.925913989543915,0.0026860107318498194,303.0,0
opp_hist_career_r2_minus_r1_sig_str_attempted_std,4,5.470295011997223,0.002618894854094833,237.0,0
opp_hist_f3_leg_acc_std,4,4.534532427787781,0.0026030427252408117,254.0,0
diff_hist_career_kd_per15_std,4,5.110603749752045,0.00259699703019578,238.5,0
self_hist_f3_r2_sig_str_attempted_mean,4,5.356062650680542,0.00258575237239711,224.5,0
opp_hist_career_r1_clinch_attempted_mean,4,4.650395393371582,0.0025684459833428264,250.5,0
self_hist_f3_leg_attempt_share_mean,4,4.45999538898468,0.0025552369479555637,268.0,0
opp_hist_f3_r1_clinch_attempted_std,4,6.442298233509064,0.0025527322432026267,263.0,0
opp_hist_f1_leg_landed_per15_mean,4,5.135960340499878,0.002551865909481421,264.5,0
opp_hist_d730_leg_landed_per15_mean,4,5.709376633167267,0.002550191944465041,264.0,0
diff_hist_f1_elapsed_seconds_mean,4,4.967221736907959,0.002545022463891655,223.5,0
opp_hist_f3_rounds_observed_mean,4,5.841969847679138,0.002527105767512694,241.5,0
self_hist_career_head_acc_mean,4,5.679588079452515,0.0025150455185212195,307.5,0
diff_hist_f3_leg_acc_mean,4,4.886452317237854,0.002514369276468642,213.0,0
opp_hist_d730_r2_sig_str_landed_mean,4,5.547295808792114,0.002476749970810488,361.5,0
diff_hist_f3_r1_distance_attempted_std,4,4.194228768348694,0.0024523730971850455,233.5,0
self_hist_d730_clinch_acc_mean,4,4.008783638477325,0.002430211523460457,266.5,0
self_hist_career_r1_ground_attempted_mean,4,5.270772576332092,0.002426733262836933,213.5,0
opp_hist_d730_clinch_acc_mean,4,3.94298779964447,0.0024069256760412827,250.5,0
self_hist_f3_head_attempted_per15_std,4,4.736016154289246,0.0023880434746388346,264.0,0
self_hist_career_ground_attempts_per_control_min_std,4,4.469315409660339,0.00238367760903202,246.0,0
self_hist_f1_ctrl_sec_per15_mean,4,4.536985218524933,0.002379298020969145,295.0,0
diff_hist_f3_sub_att_per15_std,4,4.331209659576416,0.0023629209026694298,263.0,0
self_hist_f3_ground_acc_mean,4,4.943986892700195,0.0023618058330612257,284.5,0
opp_hist_f1_ctrl_sec_per15_mean,4,4.4117138385772705,0.0023614579113200307,296.5,0
self_hist_d730_sub_att_per15_mean,4,3.4280158281326294,0.0023599897394888103,263.0,0
opp_hist_f1_ground_attempts_per_control_min_mean,4,7.919784069061279,0.002348360576434061,299.5,0
diff_hist_f3_body_attempt_share_mean,4,3.4128665924072266,0.0023238275316543877,210.5,0
opp_hist_d730_r2_minus_r1_sig_str_attempted_std,4,3.7993857860565186,0.0023201806470751762,302.5,0
self_hist_d730_head_attempt_share_mean,4,4.500414729118347,0.00230857398128137,272.5,0
diff_hist_f3_r1_sig_str_attempted_mean,4,3.4982128143310547,0.00230459967860952,234.5,0
opp_hist_d730_total_str_attempted_per15_mean,4,3.246122121810913,0.0022971131547819823,243.0,0
self_hist_career_body_acc_mean,4,3.937820553779602,0.0022894345165695995,285.0,0
opp_hist_f3_r1_sig_str_attempted_std,4,4.444652080535889,0.002284234476974234,292.0,0
opp_hist_f3_r2_minus_r1_distance_attempted_mean,4,3.445855140686035,0.0022512813447974622,248.0,0
opp_hist_f3_r1_ground_attempted_mean,4,4.469940900802612,0.002249807061161846,261.5,0
opp_hist_d730_body_acc_mean,4,4.3603492975234985,0.0022435532591771334,236.5,0
self_hist_career_kd_per100_sig_landed_std,4,4.455212831497192,0.002214985230239108,324.0,0
self_hist_f3_head_attempt_share_mean,4,4.250190794467926,0.0022064527875045314,348.5,0
self_hist_f3_r1_distance_attempted_mean,4,3.478577196598053,0.002204203890869394,386.0,0
