fold,mechanic,kind,variant,train_rows,valid_rows,primary_metric,secondary_metric,primary_score,secondary_score
2021,td_attempt_rate,count,fsr_raw,7682,942,poisson_deviance,mae,2.532221847668772,2.021790320435494
2021,td_attempt_rate,count,fsr_calibrated,7682,942,poisson_deviance,mae,2.5511525796108714,2.007325531744857
2021,td_attempt_rate,count,division_age,7682,942,poisson_deviance,mae,2.594924392249644,2.0214231882156897
2021,td_attempt_rate,count,division_age_height,7682,942,poisson_deviance,mae,2.5644314257218945,2.0091047048724393
2021,td_attempt_rate,count,division_age_reach,7682,942,poisson_deviance,mae,2.5768164888521876,2.0151703744426652
2021,td_attempt_rate,count,division_age_ape,7682,942,poisson_deviance,mae,2.5952300310768424,2.0215760378804024
2021,td_attempt_rate,count,division_age_height_reach,7682,942,poisson_deviance,mae,2.563432011526341,2.008721323286126
2021,td_attempt_rate,count,division_age_height_reach_tanh,7682,942,poisson_deviance,mae,2.563051881439228,2.0082274942832896
2021,td_completion,binomial,fsr_raw,5053,609,attempt_log_loss,attempt_brier,0.6422305228871229,0.22530593011332714
2021,td_completion,binomial,fsr_calibrated,5053,609,attempt_log_loss,attempt_brier,0.6422888230306574,0.22533834070993497
2021,td_completion,binomial,division_age,5053,609,attempt_log_loss,attempt_brier,0.6407655510606658,0.22459199263422772
2021,td_completion,binomial,division_age_height,5053,609,attempt_log_loss,attempt_brier,0.6410103803645488,0.2247270187946003
2021,td_completion,binomial,division_age_reach,5053,609,attempt_log_loss,attempt_brier,0.6407509918523737,0.22458347624727415
2021,td_completion,binomial,division_age_ape,5053,609,attempt_log_loss,attempt_brier,0.6409074375386787,0.22465911367324706
2021,td_completion,binomial,division_age_height_reach,5053,609,attempt_log_loss,attempt_brier,0.6410966919859532,0.2247641993697744
2021,td_completion,binomial,division_age_height_reach_tanh,5053,609,attempt_log_loss,attempt_brier,0.6413224156298774,0.22485806331035105
2021,ground_attempt_rate,count,fsr_raw,7682,942,poisson_deviance,mae,8.77429406320257,6.071088485803916
2021,ground_attempt_rate,count,fsr_calibrated,7682,942,poisson_deviance,mae,8.819172430218355,6.124566235164914
2021,ground_attempt_rate,count,division_age,7682,942,poisson_deviance,mae,8.813323084110175,6.142389382749435
2021,ground_attempt_rate,count,division_age_height,7682,942,poisson_deviance,mae,8.804842505734989,6.138152886229274
2021,ground_attempt_rate,count,division_age_reach,7682,942,poisson_deviance,mae,8.813275747956634,6.142362948598546
2021,ground_attempt_rate,count,division_age_ape,7682,942,poisson_deviance,mae,8.814799121408289,6.143556422978965
2021,ground_attempt_rate,count,division_age_height_reach,7682,942,poisson_deviance,mae,8.807245165714493,6.139803790378564
