fold,mechanic,kind,variant,term,beta,se,pvalue,effect_ratio_per_inch,effect_ratio_at_plus4_inches
2021,td_attempt_rate,count,division_age_reach,reach_edge,-0.004882518189362804,0.000828970481458297,3.865282584547209e-09,0.9951293819271825,0.9806594036128348
2021,td_attempt_rate,count,division_age_height_reach,reach_edge,-0.000845773332856172,0.0010598947686307808,0.42488291473868656,0.9991545842325956,0.9966226228808431
2021,td_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,-0.014826058301685157,0.010379580133707956,0.15318047190267073,,0.9887720696820574
2021,td_completion,binomial,division_age_reach,reach_edge,0.0004799548638664287,0.0017636069701541263,0.7855113821481895,1.000480070060631,1.001921663488718
2021,td_completion,binomial,division_age_height_reach,reach_edge,0.005093797533361876,0.002269751053207712,0.02481890646891226,1.0051067929760324,1.0205841813183105
2021,td_completion,binomial,division_age_height_reach_tanh,reach_tanh,0.04800781511774325,0.022146531467596584,0.03017884206073513,,1.037239099807625
2021,ground_attempt_rate,count,division_age_reach,reach_edge,8.759364307200216e-06,0.0005137743158178424,0.9863974847274904,1.0000087594026705,1.0000350380710477
2021,ground_attempt_rate,count,division_age_height_reach,reach_edge,-0.0014687637329931186,0.0006692686001311326,0.02819371284742676,0.9985323143725665,0.9941421694553392
2021,ground_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,-0.021684824376664014,0.006608593222642369,0.001033271465484357,,0.983620590034212
2021,ground_accuracy,binomial,division_age_reach,reach_edge,0.0023467460785668057,0.0011422628679318766,0.039930115364440605,1.0023495018424164,1.0094311802320772
2021,ground_accuracy,binomial,division_age_height_reach,reach_edge,0.0017948060677997458,0.0014973579746798023,0.23066460493971497,1.0017964176962528,1.0072050566836592
2021,ground_accuracy,binomial,division_age_height_reach_tanh,reach_tanh,0.008255583722087028,0.0147140621760222,0.5747514465947695,,1.0063072115335001
2022,distance_attempt_rate,count,division_age_reach,reach_edge,0.0030856730505922944,0.00015493597702487312,2.9690636109891906e-88,1.003090438640103,1.0124191775823403
2022,distance_attempt_rate,count,division_age_height_reach,reach_edge,0.0019255601212044178,0.0001947330906049814,4.683644776492549e-23,1.0019274152025939,1.0077319790412003
2022,distance_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,0.01463586675658957,0.0018914657603608784,1.0111690316841621e-14,,1.0112089452954773
2022,distance_accuracy,binomial,division_age_reach,reach_edge,-0.00037246117171747144,0.00032196689394135397,0.247341556146369,0.9996276081833337,0.9985112645807784
2022,distance_accuracy,binomial,division_age_height_reach,reach_edge,-0.0002517545142240003,0.0004008534507649722,0.529973629999857,0.9997482771732845,0.9989934888156299
2022,distance_accuracy,binomial,division_age_height_reach_tanh,reach_tanh,-0.00048556452692943966,0.003884803607714724,0.9005308712221328,,0.9996302652626918
2022,td_attempt_rate,count,division_age_reach,reach_edge,-0.005679492240470683,0.0007847243876700523,4.568183657721649e-13,0.99433660558534,0.977538140996208
2022,td_attempt_rate,count,division_age_height_reach,reach_edge,-0.0013549267334989807,0.0009947417227903232,0.1731698072807092,0.9986459907652996,0.9945949531811629
2022,td_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,-0.018203340725589157,0.009696229381627739,0.06046838095761739,,0.9862320986465725
2022,td_completion,binomial,division_age_reach,reach_edge,0.0007051191557268721,0.0016634199520109247,0.6716407443343155,1.0007053678106792,1.0028244579092593
2022,td_completion,binomial,division_age_height_reach,reach_edge,0.004601550061837712,0.002118129761633775,0.029821059018626403,1.004612153451094,1.018576638451775
2022,td_completion,binomial,division_age_height_reach_tanh,reach_tanh,0.03782008452381455,0.0206485572646655,0.06700968630895217,,1.0292223893837944
