event_date,bout_id,red_fighter,blue_fighter,P_red_win,P_blue_win,predicted_winner,predicted_winner_probability,predicted_side,P_KO_TKO,P_SUB,P_DEC,predicted_method,predicted_method_probability,P_red_KO_TKO,P_red_SUB,P_red_DEC,P_blue_KO_TKO,P_blue_SUB,P_blue_DEC,predicted_winner_method,predicted_joint_probability,actual_winner,actual_side,actual_method,actual_finish_round,actual_elapsed_seconds,simulated_mean_elapsed_seconds,simulated_mean_submission_attempts,simulated_mean_ground_seconds,simulated_mean_td_attempts,simulated_mean_td_landed,simulated_mean_ground_entries,simulated_nondecision_mean_seconds,winner_correct,method_correct,winner_method_correct,winner_probability_assigned_to_actual,market_american_odds_blue,market_american_odds_red,market_implied_probability_blue,market_implied_probability_red,market_overround,market_novig_p_red,market_novig_p_blue,market_available,market_favorite_side,market_favorite,market_correct,model_market_agree,model_minus_market_p_red,model_actual_probability,market_actual_probability,model_edge_predicted_side
2025-06-21,8c140756bf43dcc2,Tagir Ulanbekov,Azat Maksum,0.6699999999999999,0.33000000000000007,Tagir Ulanbekov,0.6699999999999999,red,0.1,0.14,0.76,DEC,0.76,0.06,0.11,0.5,0.04,0.03,0.26,red_DEC,0.5,Tagir Ulanbekov,red,DEC,3,900.0,766.4843653120308,0.72,148.2976998757216,8.81,2.83,2.83,343.68485546679494,True,True,True,0.6699999999999999,385.0,-500.0,0.20618556701030927,0.8333333333333334,0.03951890034364269,0.8016528925619835,0.1983471074380165,True,red,Tagir Ulanbekov,1.0,1.0,-0.13165289256198354,0.6699999999999999,0.8016528925619835,-0.13165289256198354
2025-06-21,8e5744c664fec3e9,Curtis Blaydes,Rizvan Kuniev,0.79,0.20999999999999996,Curtis Blaydes,0.79,red,0.34,0.08,0.58,DEC,0.58,0.28,0.03,0.48,0.06,0.05,0.1,red_DEC,0.48,Curtis Blaydes,red,DEC,3,900.0,629.8219315594984,0.39,177.9154590387308,6.19,3.27,3.27,256.71888466547233,True,True,True,0.79,198.0,-240.0,0.33557046979865773,0.7058823529411765,0.041452822739834305,0.6777862016679302,0.3222137983320697,True,red,Curtis Blaydes,1.0,1.0,0.11221379833206979,0.79,0.6777862016679302,0.11221379833206979
2025-06-21,a12d3a6c8aaf87ca,Hamdy Abdelwahab,Mohammed Usman,0.27,0.73,Mohammed Usman,0.73,blue,0.13999999999999999,0.19,0.67,DEC,0.67,0.02,0.11,0.14,0.12,0.08,0.53,blue_DEC,0.53,Mohammed Usman,blue,DEC,3,900.0,722.9954822021629,0.75,50.19504451071874,2.85,0.69,0.69,363.6226733398876,True,True,True,0.73,142.0,-168.0,0.4132231404958678,0.6268656716417911,0.0400888121376588,0.6027039848197344,0.3972960151802657,True,red,Hamdy Abdelwahab,0.0,0.0,-0.3327039848197344,0.73,0.3972960151802657,0.3327039848197343
2025-06-21,a1afc16e21d1a807,Rafael Fiziev,Ignacio Bahamondes,0.22,0.78,Ignacio Bahamondes,0.78,blue,0.14,0.12000000000000001,0.74,DEC,0.74,0.05,0.02,0.15,0.09,0.1,0.59,blue_DEC,0.59,Rafael Fiziev,red,DEC,3,900.0,772.972068588664,0.41,26.030530511012667,3.97,0.43,0.43,411.4310330333227,False,True,False,0.22,-144.0,124.0,0.5901639344262295,0.44642857142857145,0.036592505854800894,0.43066930245693313,0.569330697543067,True,blue,Ignacio Bahamondes,0.0,1.0,-0.21066930245693313,0.22,0.43066930245693313,0.21066930245693305
2025-06-21,e512b80bbaea36c2,Seokhyeon Ko,Oban Elliott,0.29000000000000004,0.71,Oban Elliott,0.71,blue,0.28,0.14,0.5800000000000001,DEC,0.5800000000000001,0.14,0.1,0.05,0.14,0.04,0.53,blue_DEC,0.53,Seokhyeon Ko,red,DEC,3,900.0,668.8371003452542,0.6,76.93361491125802,2.46,1.11,1.11,349.6121436791766,False,True,False,0.29000000000000004,-480.0,370.0,0.8275862068965517,0.2127659574468085,0.0403521643433602,0.20451339915373767,0.7954866008462623,True,blue,Oban Elliott,0.0,1.0,0.08548660084626236,0.29000000000000004,0.20451339915373767,-0.08548660084626236
2025-06-21,fff3218758c513b8,Daria Zhelezniakova,Melissa Mullins,0.5700000000000001,0.42999999999999994,Daria Zhelezniakova,0.5700000000000001,red,0.18,0.22,0.6000000000000001,DEC,0.6000000000000001,0.13,0.1,0.34,0.05,0.12,0.26,red_DEC,0.34,Daria Zhelezniakova,red,DEC,3,900.0,682.6898758968186,0.84,132.74232175913662,5.64,2.06,2.06,356.7246897420467,True,True,True,0.5700000000000001,-250.0,205.0,0.7142857142857143,0.32786885245901637,0.042154566744730726,0.31460674157303364,0.6853932584269663,True,blue,Melissa Mullins,0.0,0.0,0.2553932584269664,0.5700000000000001,0.31460674157303364,0.2553932584269664
2025-06-28,043172689e415438,Jhonata Diniz,Alvin Hines,0.48,0.52,Alvin Hines,0.52,blue,0.16999999999999998,0.16,0.67,DEC,0.67,0.06,0.09,0.33,0.11,0.07,0.34,blue_DEC,0.34,Jhonata Diniz,red,DEC,3,900.0,721.6497752042527,0.81,123.20975326543949,4.99,1.62,1.62,359.54477334622027,False,True,False,0.48,360.0,-460.0,0.21739130434782608,0.8214285714285714,0.03881987577639756,0.7907324364723467,0.2092675635276532,True,red,Jhonata Diniz,1.0,0.0,-0.3107324364723467,0.48,0.7907324364723467,0.31073243647234683
2025-06-28,1ea9ad3b6e1cba79,Beneil Dariush,Renato Moicano,0.51,0.49,Beneil Dariush,0.51,red,0.43,0.26,0.31000000000000005,KO_TKO,0.43,0.21,0.13,0.17,0.22,0.13,0.14,blue_KO_TKO,0.22,Beneil Dariush,red,DEC,3,900.0,471.9815197289946,0.9,68.35769110816244,3.67,1.04,1.04,279.6833619260792,True,False,False,0.51,-104.0,-112.0,0.5098039215686274,0.5283018867924528,0.03810580836108013,0.5089094796863863,0.4910905203136137,True,red,Beneil Dariush,1.0,1.0,0.0010905203136136743,0.51,0.5089094796863863,0.0010905203136136743
2025-06-28,2f523b757f7f33a2,Hyder Amil,Jose Delgado,0.66,0.33999999999999997,Hyder Amil,0.66,red,0.16,0.15000000000000002,0.6900000000000001,DEC,0.6900000000000001,0.12,0.08,0.46,0.04,0.07,0.23,red_DEC,0.46,Jose Delgado,blue,KO_TKO,1,26.0,741.4389061131852,0.65,105.69057117489676,6.21,2.06,2.06,388.5126003651141,False,False,False,0.33999999999999997,-136.0,116.0,0.576271186440678,0.46296296296296297,0.039234149403641005,0.44548474781032915,0.5545152521896708,True,blue,Jose Delgado,1.0,0.0,0.21451525218967088,0.33999999999999997,0.5545152521896708,0.21451525218967088
2025-06-28,7a64d63e12618ba7,Ilia Topuria,Charles Oliveira,0.49,0.51,Charles Oliveira,0.51,blue,0.28,0.51,0.21000000000000002,SUB,0.51,0.21,0.15,0.13,0.07,0.36,0.08,blue_SUB,0.36,Ilia Topuria,red,KO_TKO,1,147.0,740.8868807267952,2.16,85.70288959132398,4.34,1.41,1.41,539.0973173756902,False,False,False,0.49,320.0,-405.0,0.23809523809523808,0.801980198019802,0.040075436115040164,0.771078875793291,0.22892112420670893,True,red,Ilia Topuria,1.0,0.0,-0.28107887579329105,0.49,0.771078875793291,0.28107887579329105
