fight_id,red_name,blue_name,winner_name,method,miss_type,oracle_correct,expected_correct,mc_correct,oracle_p_red,expected_p_red,mc_p_red,mc_confidence,actual_winner_sig_edge,actual_winner_standing_edge,actual_winner_ground_edge,actual_winner_td_edge,actual_winner_control_edge,expected_winner_sig_edge,expected_winner_standing_edge,expected_winner_ground_edge,expected_winner_td_edge,expected_winner_control_edge,sim_winner_sig_edge,sim_winner_standing_edge,sim_winner_ground_edge,sim_winner_td_edge,sim_winner_control_edge
5ce29056e0cd2df9,Montel Jackson,Daniel Marcos,Montel Jackson,Decision - Unanimous,MC_CORRECT,True,True,True,0.7126099260289054,0.7526653475109837,0.7169551406608495,0.7169551406608495,13.0,14.0,-1.0,-1.0,-128.0,11.096604954227866,9.696556320922625,1.400048633305241,0.043329638914947344,20.227814996114972,13.7,11.899999999999999,1.7999999999999998,-0.09999999999999998,78.5
6ccd10adc968e1f0,Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,Decision - Unanimous,SIMULATION_MISS,True,False,False,0.3072582040789888,0.6408349504272446,0.6372311306105619,0.6372311306105619,-3.0,-3.0,-0.0,5.0,197.0,-7.901614952602841,-8.01840297929212,0.11678802668927757,0.3459114513908377,28.97906216204221,-11.150000000000002,-10.450000000000003,-0.6999999999999997,-0.050000000000000044,-15.0
9039959b41901412,Jeremy Stephens,Mason Jones,Mason Jones,Decision - Unanimous,MC_CORRECT,True,True,True,0.0067396925631532,0.2771418738196513,0.4115008421456027,0.5884991578543973,39.0,37.0,2.0,8.0,352.0,14.549685434253945,13.26635737952627,1.2833280547276762,0.5002803618283413,39.36427810614027,7.899999999999995,7.849999999999994,0.050000000000000266,0.5,47.0
c445401709421fa4,Thomas Petersen,Don'Tale Mayes,Thomas Petersen,Decision - Unanimous,MC_CORRECT,True,True,True,0.9999633186372098,0.8286926120894461,0.7700002012057955,0.7700002012057955,25.0,-1.0,26.0,9.0,829.0,6.097646392704455,2.939007048667456,3.1586393440369984,0.8321688200922934,151.5456391923055,9.899999999999995,4.449999999999996,5.45,1.7000000000000002,161.5
0e0a4282cd6c86d7,Daniel Santos,JeongYeong Lee,Daniel Santos,Decision - Unanimous,MC_CORRECT,True,True,True,0.9845175954198564,0.818874805511768,0.660957811439725,0.660957811439725,22.0,15.0,7.0,6.0,366.0,5.095401250131349,3.840976286530889,1.2544249636004605,1.850002250869561,175.80630596896546,1.6000000000000032,-0.5499999999999972,2.1500000000000004,0.8999999999999999,165.5
0f53eb509d0ffeb9,Alexa Grasso,Natalia Silva,Natalia Silva,Decision - Unanimous,MC_CORRECT,True,True,True,0.2197011037421651,0.1358519925754079,0.3839135240421885,0.6160864759578115,20.0,20.0,-0.0,-0.0,-0.0,28.765526833754993,26.456989863031282,2.3085369707237127,0.1354317270655927,10.759753464742701,16.499999999999996,12.799999999999997,3.6999999999999997,-0.3500000000000001,-41.0
891b2faf1bff38ee,Jose Aldo,Aiemann Zahabi,Aiemann Zahabi,Decision - Unanimous,SIMULATION_MISS,True,False,False,0.037166942659305,0.6977289568448182,0.6448211007277803,0.6448211007277803,31.0,7.0,24.0,-0.0,156.0,-9.660505030929967,-10.002362495734346,0.34185746480437906,0.10785587032693911,13.69528334215114,-11.0,-12.0,1.0,-0.35000000000000003,11.5
99aa1f28e22bb6dd,Navajo Stirling,Ivan Erslan,Navajo Stirling,Decision - Unanimous,MC_CORRECT,True,True,True,0.9985721605599684,0.7228396702060219,0.6497229499866715,0.6497229499866715,74.0,51.0,23.0,3.0,80.0,15.647181516971244,16.263135499714338,-0.6159539827430933,-0.5524240055010949,-60.40092463708123,21.950000000000006,23.500000000000007,-1.5499999999999998,0.40000000000000013,-13.0
9e9d1764a015f313,Valentina Shevchenko,Manon Fiorot,Valentina Shevchenko,Decision - Unanimous,MC_CORRECT,True,True,True,0.5193389875474204,0.6496411188244764,0.5852988146768852,0.5852988146768852,1.0,0.0,1.0,1.0,-98.0,5.545372167290974,3.884440267057343,1.6609319002336318,0.46353294764466146,45.444287249156986,2.6499999999999972,0.7999999999999972,1.85,0.7,119.0
b873c116e39c9920,Belal Muhammad,Jack Della Maddalena,Jack Della Maddalena,Decision - Unanimous,SIMULATION_MISS,True,True,False,0.2652489989600572,0.3785737703973694,0.5112170506855195,0.5112170506855195,46.0,48.0,-2.0,-3.0,-135.0,27.216130000901963,24.895710336887205,2.320419664014757,-2.315467841172058,-125.38060581072979,14.300000000000011,11.300000000000011,3.0,-2.55,-203.0
c812457a810dde39,Modestas Bukauskas,Ion Cutelaba,Modestas Bukauskas,Decision - Split,JUDGE_OR_ROUND_MISS,False,False,False,0.2968719509469426,0.1460549209397462,0.2165813795320981,0.7834186204679019,-14.0,-14.0,0.0,0.0,0.0,-15.830615564967298,-11.918917877024612,-3.911697687942686,-1.6058949590757843,-122.14259518272786,-22.9,-14.0,-8.899999999999999,-0.8999999999999999,-133.5
afdd95ae7b7cdb0c,Tecia Pennington,Luana Pinheiro,Tecia Pennington,Decision - Unanimous,MC_CORRECT,True,True,True,0.785255851005078,0.6944458700267188,0.7712401948143224,0.7712401948143224,23.0,23.0,0.0,-5.0,-77.0,11.789666852505293,12.869302501862734,-1.07963564935744,-0.33368922545865376,-29.206517918130118,25.4,27.25,-1.8499999999999999,-0.44999999999999996,-26.5
b3044bf646306e7f,Dustin Stoltzfus,Nursulton Ruziboev,Nursulton Ruziboev,Decision - Unanimous,SIMULATION_MISS,True,False,False,0.2792028421193041,0.5492977335662707,0.6372288815351299,0.6372288815351299,14.0,5.0,9.0,-1.0,-110.0,9.610104604380682,10.7321854175187,-1.1220808131380178,-1.1918751709913242,-125.96738853382863,6.650000000000004,11.050000000000004,-4.4,-1.2000000000000002,-204.5
