fight_id,red_name,blue_name,winner_name,method,variant,actual_red_win,predicted_red_win,red_rounds,blue_rounds,tied_rounds,correct
d1368ca941c1fefc,Torrez Finney,Robert Valentin,Torrez Finney,Decision - Split,DAMAGE_FIRST,1,0.0,1,2,0,False
fd088ce1481315a5,Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Decision - Unanimous,SIG_ONLY,1,,1,1,1,
fd088ce1481315a5,Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Decision - Unanimous,SIG_KD,1,,1,1,1,
fd088ce1481315a5,Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Decision - Unanimous,SIG_KD_TD,1,1.0,2,1,0,True
fd088ce1481315a5,Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
fd088ce1481315a5,Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Decision - Unanimous,OLD_FULL,1,1.0,2,1,0,True
fd088ce1481315a5,Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Decision - Unanimous,DAMAGE_FIRST,1,1.0,2,1,0,True
0eccebee160137b1,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,Decision - Unanimous,SIG_ONLY,0,1.0,2,0,1,False
0eccebee160137b1,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,Decision - Unanimous,SIG_KD,0,1.0,2,0,1,False
0eccebee160137b1,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,Decision - Unanimous,SIG_KD_TD,0,0.0,1,2,0,True
0eccebee160137b1,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,Decision - Unanimous,SIG_KD_TD_CTRL,0,0.0,0,3,0,True
0eccebee160137b1,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,Decision - Unanimous,OLD_FULL,0,0.0,0,3,0,True
0eccebee160137b1,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,Decision - Unanimous,DAMAGE_FIRST,0,1.0,2,1,0,False
11eb27a1ac74d225,Jim Miller,Chase Hooper,Chase Hooper,Decision - Unanimous,SIG_ONLY,0,0.0,0,2,1,True
11eb27a1ac74d225,Jim Miller,Chase Hooper,Chase Hooper,Decision - Unanimous,SIG_KD,0,0.0,0,2,1,True
11eb27a1ac74d225,Jim Miller,Chase Hooper,Chase Hooper,Decision - Unanimous,SIG_KD_TD,0,0.0,0,2,1,True
11eb27a1ac74d225,Jim Miller,Chase Hooper,Chase Hooper,Decision - Unanimous,SIG_KD_TD_CTRL,0,0.0,0,3,0,True
11eb27a1ac74d225,Jim Miller,Chase Hooper,Chase Hooper,Decision - Unanimous,OLD_FULL,0,0.0,1,2,0,True
11eb27a1ac74d225,Jim Miller,Chase Hooper,Chase Hooper,Decision - Unanimous,DAMAGE_FIRST,0,0.0,1,2,0,True
d3be5a4e0ec273e2,Yair Rodriguez,Patricio Freire,Yair Rodriguez,Decision - Unanimous,SIG_ONLY,1,1.0,3,0,0,True
