fight_id,duration,red_name,blue_name,sig_landed_diff_15m,standing_landed_diff_15m,ground_landed_diff_15m,td_landed_diff_15m,control_diff_15m,sig_share_edge,control_share_edge,path,judge_p_red,judge_red_wins_path
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,-5.0,16.0,-21.0,1.0,200.0,-0.02525252525252525,0.4545454545454546,5,0.4875499409996558,0
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,-20.0,-20.0,0.0,0.0,20.0,-0.10869565217391303,0.16666666666666663,6,0.2009363414937385,0
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,37.0,32.0,5.0,1.0,40.0,0.12937062937062938,0.08333333333333337,7,0.956595331783698,1
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,45.0,60.0,-15.0,-1.0,-90.0,0.1142131979695431,-0.5,8,0.882190336384423,1
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,-39.0,-28.0,-11.0,3.0,120.0,-0.17567567567567566,0.17647058823529416,9,0.0957095071097641,0
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,-58.0,-58.0,0.0,1.0,0.0,-0.18354430379746833,0.0,10,0.03172892527211696,0
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,-4.0,-12.0,8.0,7.0,290.0,-0.0357142857142857,0.2457627118644068,11,0.8985688752710153,1
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,28.0,20.0,8.0,0.0,80.0,0.09210526315789469,0.2222222222222222,12,0.93300181017606,1
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,14.0,-1.0,15.0,0.0,50.0,0.06140350877192979,0.08064516129032262,13,0.8830156081602882,1
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,-31.0,-31.0,0.0,4.0,110.0,-0.1534653465346535,0.42307692307692313,14,0.18756078301526213,0
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,15.0,12.0,3.0,4.0,250.0,0.06521739130434778,0.5,15,0.9448807190903934,1
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,-13.0,-13.0,0.0,-1.0,-140.0,-0.07303370786516855,-0.29166666666666663,16,0.17462043089939783,0
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,18.0,10.0,8.0,0.0,30.0,0.051724137931034475,0.11538461538461542,17,0.8476494388199645,1
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,8.0,-1.0,9.0,2.0,0.0,0.032786885245901676,0.0,18,0.7807024786211681,1
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,0.0,-2.0,2.0,1.0,20.0,0.0,0.09999999999999998,19,0.600655022420069,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,79.0,54.0,25.0,1.0,80.0,0.15991902834008098,0.5,0,0.9969896535084981,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,93.0,69.0,24.0,0.0,370.0,0.24603174603174605,0.5,1,0.9998028411213299,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,23.0,16.0,7.0,-2.0,-100.0,0.060209424083769614,-0.4166666666666667,2,0.7976526172501852,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,20.0,22.0,-2.0,1.0,60.0,0.07462686567164178,0.16666666666666663,3,0.8575551541070918,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,15.0,19.0,-4.0,0.0,100.0,0.054744525547445244,0.5,4,0.7870703236439803,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,0.0,0.0,0.0,0.0,50.0,0.0,0.1470588235294118,5,0.5966902495696481,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,-21.0,-21.0,0.0,0.0,160.0,-0.07777777777777778,0.5,6,0.350635937285387,0
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,27.0,25.0,2.0,0.0,30.0,0.06459330143540665,0.30000000000000004,7,0.8622967688102805,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,47.0,47.0,0.0,1.0,190.0,0.1146341463414634,0.5,8,0.9784998901709819,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,27.0,27.0,0.0,1.0,70.0,0.06783919597989951,0.5,9,0.8770889700858273,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,19.0,6.0,13.0,1.0,50.0,0.04871794871794877,0.2777777777777778,10,0.8833169565313308,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,12.0,26.0,-14.0,-1.0,150.0,0.03125,0.39473684210526316,11,0.7125152976811686,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,39.0,34.0,5.0,0.0,200.0,0.16115702479338845,0.2272727272727273,12,0.9843643818760615,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,66.0,75.0,-9.0,-1.0,100.0,0.2012195121951219,0.3125,13,0.9866287114699891,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,-25.0,-27.0,2.0,1.0,190.0,-0.06983240223463688,0.5,14,0.4018429354575997,0
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,28.0,25.0,3.0,1.0,360.0,0.2692307692307693,0.44999999999999996,15,0.9945519033173222,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,-2.0,-3.0,1.0,1.0,370.0,-0.00694444444444442,0.5,16,0.8806482721944842,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,-4.0,27.0,-31.0,1.0,150.0,-0.0222222222222222,0.1923076923076923,17,0.3792237647860561,0
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,79.0,79.0,0.0,1.0,40.0,0.3062015503875969,0.0714285714285714,18,0.9972334395289826,1
7efca050bc7be8ac,900.0,Loopy Godinez,Julia Polastri,7.0,10.0,-3.0,1.0,190.0,0.020000000000000018,0.3275862068965517,19,0.8147622766425228,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,-24.0,-32.0,8.0,-4.0,0.0,-0.09230769230769231,0.0,0,0.18748073116855998,0
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,-5.0,5.0,-10.0,-1.0,-60.0,-0.017730496453900735,-0.09999999999999998,1,0.2924540148240524,0
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,-32.0,-38.0,6.0,0.0,-30.0,-0.10526315789473684,-0.05555555555555558,2,0.14470247653630305,0
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,15.0,15.0,0.0,-2.0,-110.0,0.0641025641025641,-0.4230769230769231,3,0.676837983408442,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,21.0,21.0,0.0,-3.0,-40.0,0.16666666666666663,-0.047619047619047616,4,0.8553873612414101,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,11.0,0.0,11.0,-7.0,-20.0,0.038461538461538436,-0.25,5,0.6931654864055168,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,-37.0,-42.0,5.0,-3.0,0.0,-0.1456692913385827,0.0,6,0.08223188081871576,0
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,-5.0,-5.0,0.0,0.0,190.0,-0.01824817518248173,0.45238095238095233,7,0.6610580053749986,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,25.0,25.0,0.0,0.0,350.0,0.11904761904761907,0.5,8,0.9773025141735571,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,-24.0,-1.0,-23.0,0.0,-440.0,-0.375,-0.2558139534883721,9,0.0013027100745999374,0
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,3.0,3.0,0.0,0.0,-20.0,0.010638297872340385,-0.04999999999999999,10,0.5776660867292847,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,41.0,31.0,10.0,-5.0,-160.0,0.18468468468468469,-0.5,11,0.9281777329026565,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,-34.0,4.0,-38.0,-2.0,-180.0,-0.15454545454545454,-0.17307692307692307,12,0.007797355561204572,0
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,15.0,-4.0,19.0,-2.0,-120.0,0.0842696629213483,-0.10714285714285715,13,0.7941920429149961,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,40.0,41.0,-1.0,0.0,-30.0,0.11111111111111116,-0.034883720930232565,14,0.9207430971220179,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,16.0,16.0,0.0,1.0,170.0,0.043010752688172005,0.4473684210526315,15,0.874528042816096,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,-34.0,-34.0,0.0,1.0,470.00000000000006,-0.24285714285714288,0.4607843137254902,16,0.40035066152373316,0
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,34.0,34.0,0.0,-1.0,140.0,0.14166666666666672,0.4375,17,0.9545435488952396,1
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,-18.0,-14.0,-4.0,-10.0,-290.0,-0.06521739130434784,-0.5,18,0.03437340670839224,0
9f66d450af690df5,900.0,MarQuel Mederos,Austin Hubbard,12.0,12.0,0.0,-1.0,-410.0,0.07499999999999996,-0.41836734693877553,19,0.27688566091358785,0
0c80eef2f4570543,900.0,Brad Tavares,Gerald Meerschaert,22.0,15.0,7.0,-3.0,0.0,0.10377358490566035,0.0,0,0.8649566489554646,1
0c80eef2f4570543,900.0,Brad Tavares,Gerald Meerschaert,98.0,112.0,-14.0,1.0,0.0,0.23786407766990292,0.0,1,0.9959014766710501,1
0c80eef2f4570543,900.0,Brad Tavares,Gerald Meerschaert,-32.0,-43.0,11.0,0.0,50.0,-0.1951219512195122,0.08620689655172409,2,0.13812494405679593,0
0c80eef2f4570543,900.0,Brad Tavares,Gerald Meerschaert,-6.0,-18.0,12.0,-1.0,0.0,-0.01785714285714285,0.0,3,0.5503656483175864,1
