fight_id,r_name,b_name,winner,method,red_win,sig_diff,kd_diff,td_diff,sub_diff,ctrl_diff,sig_only_p_red,sig_only_pred_red,sig_only_correct,sig_kd_p_red,sig_kd_pred_red,sig_kd_correct,sig_kd_td_p_red,sig_kd_td_pred_red,sig_kd_td_correct,sig_kd_td_ctrl_p_red,sig_kd_td_ctrl_pred_red,sig_kd_td_ctrl_correct,full_total_p_red,full_total_pred_red,full_total_correct,oracle_p_red,expected_p_red,mc_p_red,old_oracle_pred_red,old_oracle_correct,full_total_confidence
97770b38df67b276,Evan Elder,Gauge Young,Evan Elder,Decision - Unanimous,1.0,34.0,0.0,0.0,0.0,14.0,0.9203694859860948,1,True,0.9186310068297402,1,True,0.929750072751132,1,True,0.9334021766797416,1,True,0.9344193561806612,1,True,0.902203277629782,0.2406761313460339,0.4347914296490613,1,True,0.9344193561806612
9bbd45774fb4a6eb,Michel Pereira,Abus Magomedov,Abus Magomedov,Decision - Unanimous,0.0,-5.0,0.0,-1.0,0.0,-37.0,0.4887018173133717,0,True,0.49207183671027643,0,True,0.38063730406855456,0,True,0.3964327860476303,0,True,0.39526314166209325,0,True,0.42423711248807,0.6838765442348229,0.5548641842654076,0,True,0.6047368583379067
d8d22dcc1f6912e7,Matt Schnell,Jimmy Flick,Matt Schnell,Decision - Unanimous,1.0,23.0,0.0,-5.0,2.0,-275.0,0.8512378607277811,1,True,0.8495765266614532,1,True,0.4941396524327228,0,False,0.536465754360021,1,True,0.6404999017893288,1,True,0.835021818337694,0.4904815729537192,0.5734512054200653,1,True,0.6404999017893288
2707dc2245335cc1,Yana Santos,Miesha Tate,Yana Santos,Decision - Unanimous,1.0,26.0,0.0,-1.0,0.0,-259.0,0.8739208291169782,1,True,0.8721580903930056,1,True,0.8402299896048168,1,True,0.7048967415476843,1,True,0.7056552071022811,1,True,0.7305724475300421,0.2253946518552151,0.4241727099882455,1,True,0.7056552071022811
469f887278324e63,Juliana Miller,Ivana Petrovic,Juliana Miller,Decision - Unanimous,1.0,-3.0,0.0,2.0,0.0,323.0,0.5206442823361342,1,True,0.5235358883023343,1,True,0.6810019596159438,1,True,0.8176345891922455,1,True,0.8181765171473818,1,True,0.8713003772826862,0.3219596623762201,0.3149125127883675,1,True,0.8181765171473818
5ce29056e0cd2df9,Montel Jackson,Daniel Marcos,Montel Jackson,Decision - Unanimous,1.0,13.0,0.0,-1.0,1.0,-128.0,0.7512369568480192,1,True,0.7505674718320638,1,True,0.6812833613277722,1,True,0.6180392863866154,1,True,0.6667309680737409,1,True,0.7126099260289054,0.7526653475109837,0.7169551406608495,1,True,0.6667309680737409
6ccd10adc968e1f0,Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,Decision - Unanimous,0.0,3.0,0.0,-5.0,-1.0,-252.0,0.6144597150357269,1,False,0.6158567005497338,1,False,0.19647633508297083,0,True,0.23708428905434553,0,True,0.20109163701628266,0,True,0.3072582040789888,0.6408349504272446,0.6372311306105619,0,True,0.7989083629837174
9039959b41901412,Jeremy Stephens,Mason Jones,Mason Jones,Decision - Unanimous,0.0,-39.0,0.0,-8.0,0.0,-352.0,0.09812644930162912,0,True,0.10224735597320657,0,True,0.0043912811594499735,0,True,0.007680064839604708,0,True,0.007524183654813582,0,True,0.0067396925631532,0.2771418738196513,0.4115008421456027,0,True,0.9924758163451864
c445401709421fa4,Thomas Petersen,Don'Tale Mayes,Thomas Petersen,Decision - Unanimous,1.0,25.0,0.0,9.0,1.0,829.0,0.8667088730945754,1,True,0.8649716574697238,1,True,0.9949321748172744,1,True,0.9981393036619731,1,True,0.998527182735128,1,True,0.9999633186372098,0.8286926120894461,0.7700002012057955,1,True,0.998527182735128
0e0a4282cd6c86d7,Daniel Santos,JeongYeong Lee,Daniel Santos,Decision - Unanimous,1.0,22.0,0.0,6.0,0.0,366.0,0.8429615523398585,1,True,0.8413516121305444,1,True,0.981390301881014,1,True,0.9797864327615454,1,True,0.9799917952067693,1,True,0.9845175954198564,0.818874805511768,0.660957811439725,1,True,0.9799917952067693
