fight_id,path,side,fighter_name,duration,control_hit_cap,final_td_control_shift,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_qualified_control_inflicted_seconds
33e301872e2b5680,15,red,Brandon Moreno,1500.0,0.0,-1.0407594326326643,181.0,86.0,16.0,12.0,16.0,13.0,3.0,1.0,290.0
33e301872e2b5680,15,blue,Steve Erceg,1500.0,0.0,-1.0407594326326643,133.0,49.0,3.0,3.0,6.0,5.0,7.0,4.0,130.0
33e301872e2b5680,16,red,Brandon Moreno,1500.0,0.0,0.34691981087755475,160.0,67.0,2.0,0.0,0.0,0.0,3.0,1.0,350.0
33e301872e2b5680,16,blue,Steve Erceg,1500.0,0.0,0.34691981087755475,124.0,48.0,1.0,1.0,6.0,4.0,0.0,0.0,160.0
33e301872e2b5680,17,red,Brandon Moreno,1500.0,0.0,-0.6938396217551095,137.0,56.0,8.0,5.0,11.0,8.0,0.0,0.0,60.0
33e301872e2b5680,17,blue,Steve Erceg,1500.0,0.0,-0.6938396217551095,257.0,107.0,8.0,6.0,2.0,1.0,9.0,2.0,110.0
33e301872e2b5680,18,red,Brandon Moreno,1500.0,0.0,0.0,157.0,59.0,2.0,1.0,3.0,2.0,0.0,0.0,290.0
33e301872e2b5680,18,blue,Steve Erceg,1500.0,0.0,0.0,257.0,99.0,16.0,16.0,6.0,5.0,3.0,0.0,120.0
33e301872e2b5680,19,red,Brandon Moreno,1500.0,0.0,-0.6938396217551095,106.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
33e301872e2b5680,19,blue,Steve Erceg,1500.0,0.0,-0.6938396217551095,329.0,114.0,5.0,2.0,0.0,0.0,2.0,2.0,80.0
41cdbcc0f3635b8f,0,red,Christian Rodriguez,900.0,0.0,0.34691981087755475,58.0,28.0,3.0,2.0,0.0,0.0,3.0,3.0,430.0
41cdbcc0f3635b8f,0,blue,Melquizael Costa,900.0,0.0,0.34691981087755475,23.0,12.0,13.0,4.0,3.0,1.0,6.0,2.0,420.0
41cdbcc0f3635b8f,1,red,Christian Rodriguez,900.0,0.0,-0.6938396217551095,42.0,21.0,1.0,1.0,81.0,62.0,0.0,0.0,310.0
41cdbcc0f3635b8f,1,blue,Melquizael Costa,900.0,0.0,-0.6938396217551095,148.0,68.0,10.0,6.0,6.0,3.0,9.0,2.0,360.0
41cdbcc0f3635b8f,2,red,Christian Rodriguez,900.0,0.0,1.0407594326326643,59.0,23.0,34.0,27.0,12.0,8.0,5.0,3.0,360.0
41cdbcc0f3635b8f,2,blue,Melquizael Costa,900.0,0.0,1.0407594326326643,146.0,71.0,3.0,1.0,0.0,0.0,0.0,0.0,230.0
41cdbcc0f3635b8f,3,red,Christian Rodriguez,900.0,0.0,0.0,84.0,33.0,5.0,2.0,5.0,4.0,0.0,0.0,410.0
41cdbcc0f3635b8f,3,blue,Melquizael Costa,900.0,0.0,0.0,96.0,37.0,4.0,2.0,2.0,2.0,0.0,0.0,490.0
41cdbcc0f3635b8f,4,red,Christian Rodriguez,900.0,0.0,1.0407594326326643,64.0,34.0,29.0,23.0,14.0,12.0,7.0,4.0,130.0
41cdbcc0f3635b8f,4,blue,Melquizael Costa,900.0,0.0,1.0407594326326643,21.0,11.0,1.0,0.0,1.0,1.0,3.0,1.0,120.0
41cdbcc0f3635b8f,5,red,Christian Rodriguez,900.0,0.0,0.6938396217551095,86.0,48.0,1.0,1.0,50.0,38.0,3.0,3.0,390.0
41cdbcc0f3635b8f,5,blue,Melquizael Costa,900.0,0.0,0.6938396217551095,46.0,21.0,22.0,17.0,0.0,0.0,3.0,1.0,270.0
41cdbcc0f3635b8f,6,red,Christian Rodriguez,900.0,0.0,0.6938396217551096,63.0,28.0,1.0,1.0,47.0,34.0,8.0,4.0,410.0
41cdbcc0f3635b8f,6,blue,Melquizael Costa,900.0,0.0,0.6938396217551096,46.0,21.0,10.0,7.0,0.0,0.0,6.0,2.0,150.0
41cdbcc0f3635b8f,7,red,Christian Rodriguez,900.0,0.0,-1.387679243510219,94.0,38.0,8.0,7.0,0.0,0.0,1.0,1.0,210.0
41cdbcc0f3635b8f,7,blue,Melquizael Costa,900.0,0.0,-1.387679243510219,234.0,93.0,3.0,3.0,1.0,1.0,15.0,5.0,410.0
41cdbcc0f3635b8f,8,red,Christian Rodriguez,900.0,0.0,1.387679243510219,67.0,30.0,4.0,4.0,5.0,2.0,6.0,5.0,420.0
41cdbcc0f3635b8f,8,blue,Melquizael Costa,900.0,0.0,1.387679243510219,154.0,63.0,7.0,3.0,0.0,0.0,10.0,1.0,380.0
41cdbcc0f3635b8f,9,red,Christian Rodriguez,900.0,0.0,-1.0407594326326643,82.0,47.0,2.0,2.0,12.0,8.0,3.0,2.0,160.0
41cdbcc0f3635b8f,9,blue,Melquizael Costa,900.0,0.0,-1.0407594326326643,104.0,44.0,35.0,24.0,3.0,2.0,19.0,5.0,470.0
41cdbcc0f3635b8f,10,red,Christian Rodriguez,900.0,0.0,-1.1102230246251565e-16,69.0,29.0,0.0,0.0,10.0,8.0,8.0,3.0,110.0
