fight_id,path,side,fighter_name,duration,control_rescaled,sim_distance_attempted,sim_distance_landed,pred_distance_attempted,sim_clinch_attempted,sim_clinch_landed,pred_clinch_attempted,sim_ground_attempted,sim_ground_landed,pred_ground_attempted,sim_td_attempted,sim_td_landed,pred_td_attempted,sim_qualified_control_inflicted_seconds,pred_qualified_control_inflicted_seconds
0f20c1d7c44fa5fe,16,red,Raul Rosas Jr.,900.0,1.0,57.0,29.0,73.68939441944812,2.0,1.0,5.596500108325408,2.0,1.0,25.507747067397815,3.0,1.0,21.476448342209146,899.9999426890734,774.87704325443
0f20c1d7c44fa5fe,16,blue,Vince Morales,900.0,1.0,64.0,26.0,77.35390151319076,3.0,3.0,5.60481345534153,1.0,1.0,5.101005243285138,0.0,0.0,1.3651563986486124,5.731092662005652e-05,71.73627110741033
0f20c1d7c44fa5fe,17,red,Raul Rosas Jr.,900.0,0.0,22.0,8.0,73.68939441944812,0.0,0.0,5.596500108325408,3.0,2.0,25.507747067397815,7.0,4.0,21.476448342209146,98.62837020995683,774.87704325443
0f20c1d7c44fa5fe,17,blue,Vince Morales,900.0,0.0,49.0,16.0,77.35390151319076,13.0,8.0,5.60481345534153,3.0,2.0,5.101005243285138,3.0,3.0,1.3651563986486124,0.0,71.73627110741033
0f20c1d7c44fa5fe,18,red,Raul Rosas Jr.,900.0,0.0,94.0,32.0,73.68939441944812,8.0,4.0,5.596500108325408,0.0,0.0,25.507747067397815,42.0,11.0,21.476448342209146,900.0,774.87704325443
0f20c1d7c44fa5fe,18,blue,Vince Morales,900.0,0.0,28.0,12.0,77.35390151319076,2.0,2.0,5.60481345534153,1.0,1.0,5.101005243285138,2.0,2.0,1.3651563986486124,5.526509325894054e-24,71.73627110741033
0f20c1d7c44fa5fe,19,red,Raul Rosas Jr.,900.0,1.0,85.0,41.0,73.68939441944812,3.0,3.0,5.596500108325408,37.0,27.0,25.507747067397815,22.0,7.0,21.476448342209146,450.4284827684561,774.87704325443
0f20c1d7c44fa5fe,19,blue,Vince Morales,900.0,1.0,53.0,16.0,77.35390151319076,14.0,9.0,5.60481345534153,1.0,0.0,5.101005243285138,1.0,1.0,1.3651563986486124,449.57151723154396,71.73627110741033
33e301872e2b5680,0,red,Brandon Moreno,1500.0,0.0,198.0,79.0,202.46221170025842,10.0,8.0,7.21745120734849,1.0,1.0,8.855916805836525,12.0,3.0,7.034472215512766,0.0010067573571676046,190.72407027831784
33e301872e2b5680,0,blue,Steve Erceg,1500.0,0.0,269.0,103.0,247.14095243553996,1.0,1.0,8.688259940612927,4.0,4.0,6.6586645737692205,2.0,0.0,3.360993025623167,65.96947401475902,79.90318989837404
