fight_id,event_date,year,red_fighter,blue_fighter,division,scheduled_rounds,actual_red_win,actual_method,actual_finish_round,actual_duration_seconds,historical_kd,historical_sub_attempts,red_win_probability,blue_win_probability,average_simulated_finish_time,simulated_nondecision_paths,simulated_finish_time_sum_seconds,simulated_total_kd,simulated_total_exposure_seconds,simulated_total_submission_attempts,simulated_paths_with_submission_attempt,simulated_total_path_count,simulated_standing_seconds,simulated_ground_seconds,kd_per_path,zero_kd_share,multi_kd_share,submission_attempts_per_path,ko_tko_probability,red_ko_tko_probability,blue_ko_tko_probability,sub_probability,red_sub_probability,blue_sub_probability,dec_probability,red_dec_probability,blue_dec_probability,sim_finish_r1_share,sim_finish_r1_count,sim_finish_r2_share,sim_finish_r2_count,sim_finish_r3_share,sim_finish_r3_count,sim_finish_r4_share,sim_finish_r4_count,sim_finish_r5_share,sim_finish_r5_count,red_td_attempts,red_td_completions,red_strike_attempts,red_strikes_landed,blue_td_attempts,blue_td_completions,blue_strike_attempts,blue_strikes_landed,simulated_strike_attempts_per_path,simulated_strikes_landed_per_path,simulated_takedown_attempts_per_path,simulated_takedowns_landed_per_path
96919cf8d3e988ff,2020-02-15,2020,Montana De La Rosa,Mara Romero Borella,women's flyweight,3,1,DEC,3,900.0,1.0,1.0,0.72,0.28,291.42141071510525,5,1457.1070535755264,3,19457.107053575528,23,12,25,15470.228151621848,3986.878901953676,0.12,0.88,0.0,0.92,0.04,0.04,0.0,0.16,0.16,0.0,0.8,0.52,0.28,0.6,3,0.4,2,0.0,0,0.0,0,0.0,0,2.96,1.28,99.12,32.12,2.44,1.24,75.64,32.2,174.76,64.32,5.4,2.52
eab100e978c730c5,2020-02-15,2020,Lando Vannata,Yancy Medeiros,lightweight,3,1,DEC,3,900.0,0.0,0.0,0.8,0.2,225.64262988915,13,2933.3541885589498,10,13733.354188558953,6,4,25,12950.292540578748,783.061647980205,0.4,0.68,0.08,0.24,0.48,0.48,0.0,0.04,0.0,0.04,0.48,0.32,0.16,0.6923076923076923,9,0.15384615384615385,2,0.15384615384615385,2,0.0,0,0.0,0,1.72,0.44,81.04,32.68,0.56,0.2,90.36,34.24,171.4,66.92,2.2800000000000002,0.64
f3e2038bfb9b5d9d,2020-02-15,2020,Jim Miller,Scott Holtzman,lightweight,3,0,DEC,3,900.0,0.0,0.0,0.36,0.64,408.9260766178209,7,2862.4825363247464,2,19062.482536324747,13,11,25,15422.120513819724,3640.362022505021,0.08,0.92,0.0,0.52,0.12,0.04,0.08,0.16,0.12,0.04,0.72,0.2,0.52,0.42857142857142855,3,0.14285714285714285,1,0.42857142857142855,3,0.0,0,0.0,0,5.08,1.84,96.72,37.52,1.84,1.04,112.12,45.48,208.84,83.0,6.92,2.88
060987bb3025a0a8,2020-02-22,2020,Karolina Kowalkiewicz,Yan Xiaonan,women's strawweight,3,0,DEC,3,900.0,0.0,1.0,0.08,0.92,401.88815536516734,1,401.88815536516734,1,22001.888155365166,1,1,25,21170.112568257668,831.7755871075,0.04,0.96,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.96,0.04,0.92,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.36,0.2,165.44,57.44,0.96,0.48,186.32,71.88,351.76,129.32,1.3199999999999998,0.6799999999999999
102fb91414fd24ab,2020-02-22,2020,Priscila Cachoeira,Shana Dobson,women's flyweight,3,1,KO_TKO,1,40.0,1.0,0.0,0.16,0.84,66.51607826178244,2,133.03215652356488,5,20833.032156523564,4,3,25,19858.233935987628,974.798220535935,0.2,0.8,0.0,0.16,0.04,0.0,0.04,0.04,0.0,0.04,0.92,0.16,0.76,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.68,0.32,142.64,53.36,2.24,0.48,152.88,59.8,295.52,113.16,2.9200000000000004,0.8
3bd20b66b585d621,2020-02-22,2020,Jake Matthews,Emil Meek,welterweight,3,1,DEC,3,900.0,1.0,0.0,0.72,0.28,503.72270014959315,5,2518.6135007479656,0,20518.613500747964,22,15,25,14414.048004973123,6104.56549577484,0.0,1.0,0.0,0.88,0.04,0.0,0.04,0.16,0.04,0.12,0.8,0.68,0.12,0.4,2,0.2,1,0.4,2,0.0,0,0.0,0,5.36,2.96,77.8,33.44,0.44,0.16,103.88,35.04,181.68,68.47999999999999,5.800000000000001,3.12
5fceb95c29d929bc,2020-02-22,2020,Paul Felder,Dan Hooker,lightweight,5,0,DEC,5,1500.0,0.0,0.0,0.2,0.8,530.5947289373105,9,4775.352560435795,7,28775.352560435793,6,6,25,26321.101634531555,2454.2509259042417,0.28,0.8,0.08,0.24,0.36,0.16,0.2,0.0,0.0,0.0,0.64,0.04,0.6,0.3333333333333333,3,0.3333333333333333,3,0.1111111111111111,1,0.1111111111111111,1,0.1111111111111111,1,4.44,1.08,155.76,62.4,2.8,1.08,147.0,71.84,302.76,134.24,7.24,2.16
f882cf76a8bce308,2020-02-22,2020,Kevin Aguilar,Zubaira Tukhugov,featherweight,3,0,KO_TKO,1,201.0,2.0,0.0,0.56,0.44,227.64959337989313,1,227.64959337989313,7,21827.649593379894,0,0,25,21141.250288487645,686.3993048922495,0.28,0.72,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.96,0.56,0.4,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,116.4,37.72,1.52,0.6,85.96,32.64,202.36,70.36,1.52,0.6
e8219ea7da46f67f,2020-02-29,2020,Joseph Benavidez,Deiveson Figueiredo,flyweight,5,0,KO_TKO,2,414.0,1.0,1.0,0.88,0.12,534.2380807702601,5,2671.1904038513007,3,32671.190403851302,9,6,25,29132.59696380725,3538.593440044043,0.12,0.92,0.04,0.36,0.16,0.08,0.08,0.04,0.0,0.04,0.8,0.8,0.0,0.2,1,0.4,2,0.2,1,0.2,1,0.0,0,7.68,2.72,150.28,61.56,4.24,0.84,97.4,37.76,247.68,99.32,11.92,3.56
f5b49f4c5a27e53b,2020-02-29,2020,Ion Cutelaba,Magomed Ankalaev,light heavyweight,3,0,KO_TKO,1,38.0,0.0,0.0,0.8,0.2,192.23096333984353,5,961.1548166992177,7,18961.154816699218,7,4,25,17552.237105992208,1408.9177107070077,0.28,0.8,0.08,0.28,0.16,0.16,0.0,0.04,0.04,0.0,0.8,0.6,0.2,0.8,4,0.2,1,0.0,0,0.0,0,0.0,0,3.88,1.24,94.16,30.72,2.16,0.36,61.6,24.64,155.76,55.36,6.04,1.6
