event_date,red_fighter,blue_fighter,actual_winner,actual_side,actual_method,P_red_win,P_blue_win,P_red_DEC,P_red_KO_TKO,P_red_SUB,P_blue_DEC,P_blue_KO_TKO,P_blue_SUB,predicted_winner,predicted_winner_probability
2025-07-26,Nikita Krylov,Bogdan Guskov,Bogdan Guskov,blue,KO_TKO,0.7999999999999999,0.2,0.1,0.4,0.3,0.1,0.0,0.1,Nikita Krylov,0.7999999999999999
2025-07-26,Muslim Salikhov,Carlos Leal,Muslim Salikhov,red,KO_TKO,0.7,0.3,0.4,0.3,0.0,0.3,0.0,0.0,Muslim Salikhov,0.7
2025-07-26,Asu Almabayev,Jose Ochoa,Asu Almabayev,red,DEC,0.4,0.6,0.2,0.0,0.2,0.3,0.2,0.1,Jose Ochoa,0.6
2025-07-26,Petr Yan,Marcus McGhee,Petr Yan,red,DEC,0.5,0.5,0.5,0.0,0.0,0.4,0.1,0.0,Petr Yan,0.5
2025-07-26,Bryce Mitchell,Said Nurmagomedov,Bryce Mitchell,red,DEC,0.3,0.7,0.2,0.0,0.1,0.3,0.0,0.4,Said Nurmagomedov,0.7
2025-07-26,Ibo Aslan,Billy Elekana,Billy Elekana,blue,DEC,0.8999999999999999,0.1,0.6,0.3,0.0,0.0,0.1,0.0,Ibo Aslan,0.8999999999999999
2025-08-02,Austin Bashi,John Yannis,Austin Bashi,red,SUB,0.4,0.6,0.2,0.0,0.2,0.4,0.1,0.1,John Yannis,0.6
2025-08-02,Danny Silva,Kevin Vallejos,Kevin Vallejos,blue,DEC,0.4,0.6,0.1,0.1,0.2,0.6,0.0,0.0,Kevin Vallejos,0.6
2025-08-02,Tatsuro Taira,HyunSung Park,Tatsuro Taira,red,SUB,0.5,0.5,0.2,0.2,0.1,0.2,0.0,0.3,Tatsuro Taira,0.5
2025-08-02,Mateusz Rebecki,Chris Duncan,Chris Duncan,blue,DEC,0.6000000000000001,0.3999999999999999,0.4,0.2,0.0,0.2,0.1,0.1,Mateusz Rebecki,0.6000000000000001
2025-08-02,Rodolfo Vieira,Tresean Gore,Rodolfo Vieira,red,DEC,0.8,0.1999999999999999,0.4,0.4,0.0,0.1,0.1,0.0,Rodolfo Vieira,0.8
2025-08-02,Elves Brener,Esteban Ribovics,Esteban Ribovics,blue,DEC,0.4,0.6,0.0,0.3,0.1,0.3,0.3,0.0,Esteban Ribovics,0.6
